total_output,density,generated_cars,flow,%_to_Utrecht,total_average_speed,average_speed:R8,average_speed:R5,average_speed:R6,average_speed:R9,average_speed:R2,average_speed:R1,average_speed:R7,average_speed:R10,hour
1060,0.0107627118644,1066,0.29444444444444445,0.3622641509433962,4.6614529957815565,4.80448717948718,4.77200976579378,4.792860391086857,4.785298582995951,4.078260869565217,4.459503546099289,4.778769841269841,4.820433789954337,0
613,0.00619114877589,617,0.17027777777777778,0.36867862969004894,4.667952422070337,4.799065420560748,4.81086388987776,4.816546762589928,4.809753483386927,4.0025,4.525999158603278,4.764150943396227,4.8147397181478295,1
342,0.00338041431262,344,0.095,0.391812865497076,4.676699113027389,4.803468208092486,4.806621243885399,4.796812749003984,4.817151034786438,4.047413793103448,4.551718547341117,4.765714285714286,4.824693042291951,2
277,0.00282015065913,279,0.07694444444444444,0.4404332129963899,4.703063016636505,4.804123711340206,4.815679980979554,4.845132743362832,4.806726266496382,4.174757281553398,4.536027326630577,4.80532212885154,4.836734693877551,3
380,0.00382768361582,382,0.10555555555555556,0.3815789473684211,4.66822651377253,4.785714285714286,4.800327408793264,4.774869109947644,4.804063360881543,4.0,4.555817610062894,4.809121621621622,4.815898713158987,4
916,0.00919491525424,921,0.2544444444444444,0.37663755458515286,4.662849655810263,4.734210526315789,4.795928352992552,4.802250803858521,4.805177824267783,4.06993006993007,4.479766654002027,4.8,4.815533015115354,5
3592,0.0394256120527,3617,0.9977777777777778,0.3811247216035635,4.538660658800817,4.770864946889226,4.509461474411488,4.807181227028556,4.721385895912688,4.024590163934426,3.9626217351334283,4.794242424242425,4.718937402854293,6
6457,0.114444444444,6522,1.793611111111111,0.41722161994734397,3.8612652501766944,4.7840260798696015,2.401360369108426,4.8087377450980355,3.826411656895973,3.9165210638710932,2.3198785621772076,4.80595064556434,4.0272358788288765,7
7150,0.135786252354,7270,1.9861111111111112,0.4404195804195804,3.68756304309514,4.793325465512713,2.1996367313814233,4.772826302238049,3.6263134702686317,3.710094351815948,2.0434300051585104,4.789956441491308,3.564921576894542,8
6266,0.0933474576271,6325,1.7405555555555556,0.4190871369294606,4.032322273752134,4.793735224586289,2.9657398288697827,4.777990506329105,4.214289496483077,3.7343080785703724,2.797054417034345,4.793716201600679,4.181744436543417,9
5451,0.0688276836158,5493,1.5141666666666667,0.4046963859842231,4.297647274832336,4.793420173680694,3.6692885049341335,4.8066271018793145,4.535146830239101,3.8685411572942145,3.4251153105860146,4.7980116175156295,4.485027502529589,10
5659,0.0740207156309,5712,1.5719444444444444,0.4124403604877187,4.227419918209007,4.799183213631881,3.6193595440701505,4.783097484276717,4.462121693236227,3.7487519612038236,3.2598064076527185,4.790590785907848,4.356448255692693,11
6100,0.0836770244821,6156,1.6944444444444444,0.4131147540983607,4.136765064869103,4.789490179690764,3.296035689890969,4.786564677370485,4.314677032309714,3.759665726943213,3.059777791711368,4.776320610687008,4.311588810349303,12
6281,0.0913276836158,6338,1.7447222222222223,0.41283235153637954,4.057638741736883,4.782633795164353,2.926054900015625,4.7801075268817055,4.294652413074192,3.679354324432045,2.983595036427866,4.786313988095222,4.228397949804056,13
6868,0.112914312618,6931,1.9077777777777778,0.4282178217821782,3.8626153237069913,4.785116102017508,2.5741451510090445,4.771498783454968,4.011736838659914,3.605022416091118,2.4930097472966986,4.7853184323331055,3.875075118793576,14
7553,0.150663841808,7695,2.0980555555555553,0.4444591553025288,3.5416062066252754,4.783584045584038,2.179457080906156,4.748574933937317,3.4981386133589822,3.3391218523260764,1.7657738690391898,4.789807100656125,3.228392157194319,15
7480,0.152076271186,7594,2.077777777777778,0.436096256684492,3.5563589258153745,4.7824543141336955,2.14990150293987,4.7391590822904615,3.5006309572434886,3.4309730572255623,1.7056431191838353,4.782727664663972,3.3593817088421076,16
7427,0.142048022599,7528,2.0630555555555556,0.43086037430995017,3.628113719180771,4.7721606008087765,2.1055120722493412,4.734295503613988,3.672919177275255,3.3998440860215067,2.055110965762501,4.7796653610939135,3.50540198662088,17
6382,0.0917984934087,6462,1.7727777777777778,0.41695393293638355,4.057002144265332,4.789625269021392,3.017861605563892,4.760290148448017,4.361535146413677,3.5589171974522293,2.9601107488915543,4.7903657674042455,4.21731127092765,18
4343,0.0485263653484,4375,1.206388888888889,0.3999539488832604,4.4794424288996115,4.788359788359788,4.373920743693108,4.7882232547848105,4.704074579291568,3.8593877218694046,3.9253551509770834,4.795594193112746,4.600623999108389,19
3457,0.0366195856874,3482,0.9602777777777778,0.3954295632050911,4.574062244075657,4.804659498207887,4.652376010203733,4.805736371033359,4.747937210282333,3.9277176364456476,4.156349686875857,4.797455845248108,4.700265694308325,20
3120,0.0327919020716,3138,0.8666666666666667,0.3894230769230769,4.595577397541371,4.79017094017094,4.678239370765136,4.80912176495545,4.772366925064582,3.959151515151515,4.2107114975635005,4.795287060839757,4.749570105820093,21
2865,0.0299858757062,2879,0.7958333333333333,0.39650959860383944,4.619638174220153,4.8097287428273345,4.698593224366415,4.800864815657716,4.7749548107979845,4.048783747661053,4.288488356273878,4.792695943885328,4.742995752291513,22
2202,0.0226694915254,2222,0.6116666666666667,0.3905540417801998,4.6330515687883045,4.788780487804878,4.7479220819880075,4.826172574292876,4.79902896081771,4.003336670003336,4.354164953663256,4.777538185085355,4.767468636651018,23
