total_output,density,generated_cars,flow,%_to_Utrecht,total_average_speed,average_speed:R8,average_speed:R5,average_speed:R6,average_speed:R9,average_speed:R2,average_speed:R1,average_speed:R7,average_speed:R10,hour
1033,0.0105320150659,1038,0.28694444444444445,0.38044530493707646,4.671354565901274,4.8072463768115945,4.78145542973285,4.802357836338419,4.8121949138078195,4.046783625730995,4.501473922902496,4.815994798439532,4.803329623446488,0
595,0.00601694915254,600,0.16527777777777777,0.3983193277310924,4.6851734916294365,4.80565371024735,4.804520513779769,4.812941176470588,4.810022865853658,4.096059113300493,4.513447293447293,4.8316831683168315,4.807060091619509,1
345,0.00346986817326,345,0.09583333333333334,0.3855072463768116,4.69136658448459,4.811320754716981,4.7905663511044665,4.868085106382979,4.8037947391116855,4.101851851851852,4.5507845631891435,4.779874213836478,4.8246550956831324,2
258,0.00256120527307,260,0.07166666666666667,0.39147286821705424,4.6705609816272045,4.776470588235294,4.814255277939182,4.755813953488372,4.8290010193679915,4.0,4.568649045521291,4.811688311688312,4.808609656777196,3
388,0.00384651600753,390,0.10777777777777778,0.36855670103092786,4.680256049809588,4.835820895522388,4.798907729911395,4.788461538461538,4.809253525971792,4.054878048780488,4.52793533749291,4.817180616740088,4.809610705596107,4
947,0.00965630885122,959,0.26305555555555554,0.36536430834213307,4.687011791646048,4.8515625,4.787850150656673,4.852,4.797491496598638,4.07563025210084,4.508211649000683,4.828571428571428,4.794776856240127,5
3506,0.038286252354,3530,0.9738888888888889,0.39589275527666856,4.55021740799,4.767668776371308,4.5217578950317625,4.8248519116855135,4.714205044762983,4.049919484702094,4.006539257837881,4.793583844580779,4.7232130489476765,6
6445,0.116826741996,6516,1.7902777777777779,0.42063615205585725,3.85605548000016,4.793093270365999,2.2657002895932425,4.802785888077856,3.8467075962670663,3.8822682786413356,2.3882382041596055,4.793548006605326,4.076102306290848,7
7126,0.132184557439,7219,1.9794444444444443,0.4389559360089812,3.7128754414474976,4.788115659519167,2.3369215341812817,4.783685446009373,3.6441141868530553,3.694528396927339,2.114879312301447,4.801287060614027,3.5394719351742925,8
6181,0.0890018832392,6252,1.7169444444444444,0.42355605889014725,4.092639037188833,4.798722519310756,3.114179959001679,4.791127930200762,4.246306646195101,3.839067784149391,2.9472216896514345,4.784677076694274,4.219808692307259,9
5495,0.0692796610169,5552,1.5263888888888888,0.4105550500454959,4.291351843815603,4.799307958477508,3.803976928269209,4.789167491476952,4.49887543148077,3.877489389487431,3.3401310312063095,4.7882156596514935,4.433650860475151,10
5663,0.0715536723164,5706,1.5730555555555557,0.4130319618576726,4.274293988207031,4.795200302343158,3.7436862271769895,4.793888200041319,4.5078421399338735,3.7880676120899586,3.3475226040416652,4.7961526078557535,4.421992212173535,11
6146,0.0856167608286,6202,1.7072222222222222,0.4220631304913765,4.106942603438096,4.778492778492777,3.269993503188995,4.78346716079883,4.310035648916389,3.7116002795248093,3.0147640279552865,4.8019950393615805,4.185192389266103,12
6217,0.0887853107345,6262,1.7269444444444444,0.41531285185780925,4.099994687538422,4.79817248459959,3.1141866942857255,4.779231158320673,4.349604242746696,3.740919447795201,3.013663068476776,4.783452941616188,4.220727462466529,13
6952,0.116911487759,7050,1.931111111111111,0.4226121979286536,3.820323339402104,4.786634615384616,2.5197238714877956,4.764479922593107,3.8896324834364036,3.552864489893554,2.41895174742002,4.783781795546479,3.846517789454852,14
7561,0.150174199623,7699,2.100277777777778,0.43711149318873166,3.536477796416107,4.777181931676307,2.1388105600984755,4.726393947884542,3.5242470431465542,3.3139997904223,1.8567041348837283,4.7788018653756446,3.1756830978413033,15
7443,0.146346516008,7553,2.0675,0.4365175332527207,3.597142348950841,4.794206993995049,2.0921907577591736,4.74659825161533,3.610597701349577,3.418330061082023,1.918932586951714,4.786231763581174,3.4100506752726853,16
7313,0.136949152542,7433,2.031388888888889,0.4347053192944072,3.661984381132815,4.783339197748059,2.273412522131784,4.741297348484828,3.6851682802466668,3.450197563384918,2.0684257591342186,4.787367800975372,3.5066665769566745,17
6307,0.0861581920904,6398,1.7519444444444445,0.4198509592516252,4.109486432377451,4.782932840418975,3.3096747865390026,4.756278439345515,4.326340788840782,3.60129490392648,3.0816426096881804,4.777644288393457,4.240082801867212,18
4403,0.0486487758945,4435,1.2230555555555556,0.4063138769021122,4.489529090788643,4.795537104307214,4.448095794369905,4.807954922108048,4.6834893908095765,3.8976273436203748,3.900952869557324,4.7866913746630635,4.595883926873641,19
3470,0.0372457627119,3490,0.9638888888888889,0.38904899135446686,4.558098537588616,4.7918900804289555,4.601480489495938,4.807081425995283,4.753239557600007,3.915907498248073,4.08828829268287,4.799883449883447,4.707017506374358,20
3095,0.0324905838041,3106,0.8597222222222223,0.402907915993538,4.598311853539485,4.810666666666667,4.68713758092417,4.815054447744308,4.75050416739522,3.9955050863496564,4.208970476649439,4.791518650088809,4.7271377524976135,21
2884,0.03,2898,0.8011111111111111,0.41158113730929263,4.597289654517468,4.786677454153183,4.6973939836857515,4.811137238135952,4.763021915668142,3.911866075824717,4.280943881439965,4.789216148287777,4.7380605389442465,22
2163,0.0221892655367,2176,0.6008333333333333,0.3865002311604253,4.638403485533955,4.801812004530011,4.741602592793401,4.818576388888888,4.803821110349546,4.013418903150525,4.366899286339016,4.781942701798411,4.779154896421838,23
