total_output,density,generated_cars,flow,%_to_Utrecht,total_average_speed,average_speed:R8,average_speed:R5,average_speed:R6,average_speed:R9,average_speed:R2,average_speed:R1,average_speed:R7,average_speed:R10,hour
995,0.00998587570621,999,0.2763888888888889,0.41105527638190953,4.66744769955574,4.784705882352942,4.799039797489089,4.817147856517936,4.793361794743012,4.039571694599627,4.495490853707937,4.805714285714286,4.804549431321084,0
629,0.00626177024482,632,0.17472222222222222,0.3942766295707472,4.674395952851581,4.78042328042328,4.798297950219614,4.814159292035399,4.816131777291516,4.053459119496855,4.515858754701214,4.800955414012739,4.815882034632035,1
341,0.00341337099812,343,0.09472222222222222,0.4222873900293255,4.673586024306617,4.778523489932886,4.787743506493508,4.816,4.812307098765432,4.0,4.554987212276214,4.833333333333333,4.805793553651571,2
312,0.0031120527307,315,0.08666666666666667,0.4166666666666667,4.676069246477207,4.804878048780488,4.801712590891696,4.8,4.79079754601227,4.060869565217391,4.558849655785032,4.7765567765567765,4.814889788573999,3
404,0.00406308851224,406,0.11222222222222222,0.45792079207920794,4.677506235397777,4.786516853932584,4.80338018741633,4.804597701149425,4.80611672278339,4.114864864864865,4.5232819695359545,4.76875,4.812541583499668,4
914,0.00919962335217,918,0.2538888888888889,0.3796498905908096,4.67996048774733,4.779661016949152,4.7803101744228345,4.796491228070176,4.795937283437285,4.168,4.514398823662479,4.78698224852071,4.817903126916005,5
3626,0.0399811676083,3647,1.0072222222222222,0.38472145615002756,4.532029188361058,4.807855626326964,4.488399876642743,4.8076923076923075,4.68595381721475,4.027303754266212,3.9433782731432796,4.781222320637733,4.714427530964479,6
6449,0.114256120527,6541,1.791388888888889,0.42502713599007597,3.87991110192247,4.791068800588669,2.4736145942876013,4.803250849102372,3.8646885933197406,3.93876769996173,2.3070342886250996,4.7993396226415035,4.061524366853042,7
7104,0.136209981168,7231,1.9733333333333334,0.4391891891891892,3.68145251645744,4.799325236167338,2.22721845565902,4.782449266626464,3.558226606413854,3.696936615058886,2.0287042594032223,4.794856964897431,3.563902727433304,8
6292,0.0924482109228,6349,1.7477777777777779,0.4260966306420852,4.0577918072578525,4.794279907084783,2.9728411866269173,4.791601501407561,4.226935754680054,3.817417352389201,2.9065322637854294,4.788602082005512,4.164124410083367,9
5491,0.0700376647834,5553,1.5252777777777777,0.41103624112183573,4.267306653556633,4.786871373307542,3.6118563559197576,4.784361065796615,4.497325198584278,3.8145351580934417,3.447262153794405,4.7895258668439045,4.406716056113126,10
5688,0.0732768361582,5737,1.58,0.40770042194092826,4.245865083213619,4.796059761572998,3.616498561479558,4.784706558061809,4.490535478790922,3.7994113318616645,3.2990632113232343,4.780388978930297,4.400256783688474,11
6228,0.0896939736347,6296,1.73,0.41441875401412975,4.075515395770127,4.790806195393167,3.098287381294185,4.78097739095637,4.283553414203132,3.6365812629399588,3.030479132105654,4.793313258347339,4.190125130921208,12
6275,0.0873116760829,6342,1.7430555555555556,0.42932270916334664,4.105642289017751,4.789252095422306,3.2650318758393007,4.780473663521989,4.31721056488708,3.71611896573685,3.0017763160244497,4.798442942020058,4.176831888689969,13
6830,0.109825800377,6930,1.8972222222222221,0.42079062957540264,3.8931576287078227,4.786871755918467,2.625378323465987,4.7583860759493435,4.060507187512198,3.5958140637969893,2.5682744624674347,4.789792820771057,3.960236339781101,14
7514,0.156191148776,7655,2.087222222222222,0.43478839499600747,3.536950077654644,4.785764009745907,2.0345003454194166,4.7290474841876495,3.5174038005688018,3.2962039390088953,1.6920235614155936,4.7779351989638235,3.462722281927069,15
7490,0.152104519774,7617,2.0805555555555557,0.4361815754339119,3.561970271017696,4.775061859314236,2.0214755120321932,4.730550847457609,3.6188024674900676,3.3884454457676254,1.8096968161797578,4.791656574936291,3.3600726449637843,16
7344,0.134717514124,7458,2.04,0.4383169934640523,3.6386614623104574,4.791159420289846,2.3386740998837126,4.734565627950886,3.5976338754290347,3.3336826830054846,2.180951178497312,4.786773413393353,3.345851400034029,17
6389,0.090983992467,6458,1.7747222222222223,0.4146188761934575,4.059371533122197,4.786093497451196,3.078747729355309,4.769590132090118,4.349764023220714,3.5474949059091467,3.017110376747056,4.788086072450868,4.138085527753165,18
4571,0.0512947269303,4607,1.2697222222222222,0.4104134762633997,4.461970022298595,4.797928709055876,4.326337008273746,4.799253080362001,4.6709139508328965,3.8609625668449206,3.8683356140113174,4.795481099656344,4.576548149351658,19
3456,0.0366572504708,3485,0.96,0.4068287037037037,4.568852087934872,4.808372248165444,4.645481659077523,4.797223321461548,4.742643331492556,3.966034755134281,4.1177598124900685,4.788590696394166,4.6847108792633945,20
3057,0.0321939736347,3083,0.8491666666666666,0.40071965979718677,4.594312480171432,4.814160401002507,4.664421243942899,4.8008543231698315,4.764584795834785,3.9793103448275864,4.21668374972269,4.787919263876521,4.726565718994633,21
2971,0.0312241054614,2991,0.8252777777777778,0.3917872770111074,4.58859083894178,4.773752563226248,4.680604617644704,4.810253772290808,4.7739049813473615,3.904362024725916,4.235853038173915,4.797621967838645,4.732373746286646,22
2175,0.0223822975518,2189,0.6041666666666666,0.3857471264367816,4.640772226164647,4.80378787878788,4.756289801712512,4.809581564584599,4.809190031152639,3.998073217726397,4.3508291941115,4.80097087378641,4.797455247455241,23
