total_output,density,generated_cars,flow,%_to_Utrecht,total_average_speed,average_speed:R8,average_speed:R5,average_speed:R6,average_speed:R9,average_speed:R2,average_speed:R1,average_speed:R7,average_speed:R10,hour
1051,0.0105555555556,1057,0.29194444444444445,0.3977164605137964,4.675678570843333,4.801047120418848,4.7944936445839,4.802650957290132,4.808020730503456,4.0956112852664575,4.508922865013775,4.795208655332303,4.799473308337797,0
580,0.00582391713748,583,0.16111111111111112,0.3879310344827586,4.6724639965492045,4.8,4.797612433862431,4.854508196721311,4.818612191958496,3.950854700854701,4.519730392156866,4.817016317016316,4.821377739823514,1
320,0.00316854990584,323,0.08888888888888889,0.353125,4.675292054824927,4.795698924731183,4.808372786252851,4.845794392523365,4.798898071625344,3.9945054945054945,4.526289350301405,4.802521008403361,4.83025641025641,2
305,0.00310734463277,305,0.08472222222222223,0.39344262295081966,4.693399512853836,4.819327731092437,4.7887109077040435,4.82183908045977,4.807035998129967,4.169642857142857,4.538149466192171,4.773234200743494,4.829255861365953,3
379,0.00383239171375,379,0.10527777777777778,0.38522427440633245,4.66802964293144,4.8354430379746836,4.805795064042486,4.805732484076433,4.8010582010582015,4.04054054054054,4.517050993625796,4.748366013071895,4.790250809061489,4
943,0.0095856873823,952,0.2619444444444444,0.3647932131495228,4.668144539477536,4.773913043478261,4.7930362116991505,4.826086956521739,4.808022747156606,4.058252427184466,4.477469224162611,4.785407725321888,4.822967980295568,5
3555,0.0394444444444,3572,0.9875,0.389873417721519,4.5390958787910325,4.8060064935064934,4.4616922085996915,4.820808425846854,4.703308173254887,4.064322469982847,3.9336758157082232,4.7947864669994456,4.728166976429819,6
6537,0.120145951036,6634,1.8158333333333334,0.4269542603640814,3.8005284965365,4.779852910710587,2.3815327783004867,4.797956671590348,3.6394982571615153,3.899687743950039,2.246216724593716,4.789923000105112,3.869559885880198,7
7199,0.141803201507,7317,1.9997222222222222,0.4446450895957772,3.6283470504611293,4.798190476190472,2.1509532446398434,4.773566440444559,3.4874948429089576,3.6996765601217647,1.9688670446937946,4.7930946498426295,3.3549331448470094,8
6200,0.091577212806,6291,1.7222222222222223,0.41419354838709677,4.055043102252668,4.776553547818424,2.990537368844707,4.792527087316752,4.246608988145729,3.7521900519673346,2.8650431742462183,4.78867199999999,4.2282125996821875,9
5393,0.0681826741996,5437,1.4980555555555555,0.4047839792323382,4.292534144125622,4.792272798373222,3.74055983990541,4.8046668883715675,4.523580715114307,3.831472491909384,3.354079882623462,4.783599075678784,4.510041461028841,10
5735,0.0780649717514,5779,1.5930555555555554,0.40732345248474283,4.191957831811299,4.790879778903731,3.305813982726767,4.78730462519935,4.437093612849694,3.805767219483042,3.2242538352893693,4.782066819521771,4.402482780516678,11
6245,0.0904425612053,6326,1.7347222222222223,0.41713370696557245,4.0788378835417625,4.797814798788402,3.0973442441617047,4.779601537216816,4.236906758543641,3.730865449628128,2.934329877820853,4.785496081225492,4.268344320949058,12
6302,0.0909604519774,6360,1.7505555555555556,0.41526499523960647,4.078994664088199,4.8033643473570615,3.0646264770412315,4.780748850229932,4.292320304830754,3.683254344391784,2.9211976938047584,4.798004298434129,4.288440996615949,13
6927,0.11502354049,7022,1.9241666666666666,0.433232279486069,3.851763506789235,4.782732357491369,2.5861916285957993,4.773817762399056,3.9500476385811556,3.665891472868218,2.480130698050476,4.794678839957009,3.7806176563708003,14
7583,0.150320150659,7725,2.106388888888889,0.43979955162864304,3.530988501274045,4.767044803483434,2.095595357568673,4.725819748922592,3.4255186577391554,3.305212620027437,1.8989265329603833,4.783599755235601,3.2461905342550867,15
7468,0.148888888889,7595,2.0744444444444445,0.43786823781467593,3.57334387487118,4.775017064846413,2.060694413178005,4.7437015232221125,3.5908813405403213,3.39987059204141,1.8802584512233704,4.789392257622441,3.346935356295364,16
7367,0.139303201507,7483,2.046388888888889,0.4353196687932673,3.6332836064444445,4.780674066366049,2.2444586013535406,4.740180512238896,3.711548363587732,3.33191942351785,1.9584995751019716,4.773769560827839,3.525218748561676,17
6366,0.0895527306968,6427,1.7683333333333333,0.422086082312284,4.077861452945639,4.798175225867806,3.1386616671793646,4.75939936471266,4.362623084451033,3.595292800754096,3.0072418020468,4.797684073629427,4.163813604923931,18
4458,0.0496421845574,4488,1.2383333333333333,0.38784208165096457,4.478797574366995,4.801076555023925,4.4056458448298645,4.800873548524547,4.7076785771349865,3.853908484270734,3.832855899858609,4.7886677722498465,4.639673913043454,19
3535,0.0381403013183,3551,0.9819444444444444,0.4002828854314003,4.552901731495124,4.7897994024754595,4.566800074407575,4.796793587174347,4.736934646865224,3.966735019366598,4.0697017807851745,4.79302341887533,4.703425922011291,20
3083,0.0324623352166,3095,0.8563888888888889,0.3807979240999027,4.5994858924989455,4.793541173375428,4.650369697872158,4.817067635043124,4.774205623748574,4.008049617313276,4.213166051654359,4.796096853040023,4.743390487944626,21
2899,0.0303907721281,2917,0.8052777777777778,0.4015177647464643,4.5998246093207635,4.804771979313586,4.689552918698633,4.802429031314015,4.755391936787275,3.9397136397889976,4.257850491377025,4.800155472636814,4.748731404649759,22
2062,0.021252354049,2074,0.5727777777777778,0.36566440349175555,4.643405967337355,4.801180301180302,4.747079390601268,4.81901776384535,4.789053724053719,4.049150485436893,4.36238539809559,4.7955321285140595,4.783848546971654,23
