total_output,density,generated_cars,flow,%_to_Utrecht,total_average_speed,average_speed:R8,average_speed:R5,average_speed:R6,average_speed:R9,average_speed:R2,average_speed:R1,average_speed:R7,average_speed:R10,hour
977,0.00991525423729,983,0.2713888888888889,0.4257932446264074,4.671454748987336,4.797687861271676,4.778587102552613,4.807670614777213,4.804771273979342,4.075645756457565,4.513826176065572,4.791748526522594,4.801700680272111,0
607,0.00609698681733,611,0.1686111111111111,0.37397034596375617,4.662792990435335,4.769911504424779,4.802997949089141,4.82258064516129,4.812532100667694,3.967136150234742,4.535510638297874,4.783369803063457,4.808305132543712,1
362,0.00365348399247,362,0.10055555555555555,0.40331491712707185,4.692125914564493,4.7669172932330826,4.813338301043216,4.826171875,4.808764209754309,4.15546218487395,4.553444180522565,4.797665369649805,4.815243902439025,2
340,0.00340866290019,341,0.09444444444444444,0.4,4.672112479112248,4.794642857142857,4.8156642881413525,4.8097345132743365,4.809538032656312,4.0245098039215685,4.5547677764077275,4.795418641390206,4.77262391996362,3
375,0.00380414312618,376,0.10416666666666667,0.33066666666666666,4.696918933279207,4.851648351648351,4.809237132352938,4.822784810126582,4.813034188034188,4.140186915887851,4.559956964006261,4.791519434628976,4.786983669548511,4
974,0.00978342749529,976,0.27055555555555555,0.41170431211498976,4.668260452468466,4.821782178217822,4.799436890693662,4.812441968430826,4.796354166666665,4.020710059171598,4.479033878147958,4.828947368421052,4.787377109998146,5
3579,0.0392231638418,3599,0.9941666666666666,0.40681754680078236,4.543874574684038,4.796217494089834,4.55299080814481,4.818736730360935,4.720524748031158,4.0209677419354835,3.9452206007726818,4.778050778050778,4.718287696086624,6
6482,0.113728813559,6563,1.8005555555555555,0.4302684356680037,3.888350685415174,4.786532273329549,2.5041548046207676,4.800452898550718,3.910739996593979,3.994158878504673,2.31719425111691,4.787496737144348,4.006075643460445,7
7180,0.142947269303,7295,1.9944444444444445,0.44261838440111423,3.6312617795190234,4.773986928104572,2.1175641938750838,4.783059783149286,3.5677564168468563,3.7397615344738226,1.9075264641564662,4.789436692506436,3.371002223039664,8
6223,0.0930649717514,6297,1.728611111111111,0.4219829664149124,4.037899259681234,4.792677448337827,2.9077440301529878,4.7911888924083925,4.220780274491456,3.779268292682927,2.8583057991503558,4.7944119241192285,4.158817416106699,9
5441,0.0689783427495,5487,1.511388888888889,0.40580775592721924,4.285403332125386,4.786931818181819,3.75505662346852,4.7916170962767,4.463648002855153,3.8346974803402336,3.3983776397316308,4.804463257313972,4.4484347388350605,10
5686,0.0707015065913,5739,1.5794444444444444,0.4180443193809356,4.293245349636895,4.7976674191121145,3.7829787875093466,4.793564408197391,4.500676633128333,3.815238095238095,3.42242908702987,4.791060850834667,4.442347516045347,11
6280,0.0909510357815,6339,1.7444444444444445,0.42038216560509556,4.071464446983633,4.78283244133388,3.0111042520313323,4.789552845528436,4.274137248928041,3.728769438810007,2.9595361817076515,4.790010565240346,4.235772602289364,12
6243,0.0894209039548,6301,1.7341666666666666,0.42431523306102836,4.07204628582195,4.780050900548158,3.1165062313373073,4.755488842189522,4.372223124812922,3.6106497957031753,2.9545801661998254,4.7814393269683935,4.205431898816298,13
6815,0.111440677966,6903,1.8930555555555555,0.4218635363169479,3.869078960380392,4.796216475095783,2.5686042768084913,4.7586275077160245,4.048838984238224,3.5540260509177015,2.539670360127356,4.785511576330308,3.9011364518092475,14
7520,0.158766478343,7662,2.088888888888889,0.4343085106382979,3.5023270453565587,4.77177603098655,2.0711556097529797,4.738339421185705,3.47000517085121,3.3481387478849376,1.6234344972013062,4.7755488736158584,3.220218011373923,15
7465,0.144256120527,7594,2.073611111111111,0.43496316141995983,3.6207116248178064,4.800799086757987,2.1748972655185543,4.743541432320942,3.654855046763672,3.401398828887445,1.906305901119467,4.778385970653993,3.50550946652039,16
7303,0.13222693032,7416,2.028611111111111,0.4377653019307134,3.6520066607140507,4.779384756657478,2.2750429474683784,4.722258646902298,3.704497752823074,3.2275605214152727,2.2174407870996435,4.780817060137939,3.509050813208324,17
6310,0.0862664783427,6376,1.7527777777777778,0.4202852614896989,4.115348999373801,4.780354449472093,3.2967888812485766,4.76068872122265,4.393525816407037,3.5439061763319155,3.1271611663307883,4.791356826334648,4.229009957642698,18
4463,0.0497551789077,4501,1.2397222222222222,0.41138247815370826,4.470377523923854,4.784763181411975,4.414657944705392,4.800916245081495,4.657828129361002,3.8282853359814637,3.8912589213892135,4.787552905582637,4.597757527877651,19
3456,0.0372222222222,3483,0.96,0.40306712962962965,4.5539834918371715,4.806129247168554,4.583083001697183,4.814029133078771,4.734919119429969,3.9279701779701783,4.068167592340969,4.791992753623188,4.705576909388564,20
3109,0.0327212806026,3128,0.8636111111111111,0.4014152460598263,4.597958493456814,4.802389486260454,4.664428392297526,4.802453102453101,4.759390129344591,3.9989852866565196,4.216947304004725,4.8017228293867635,4.737351417250832,21
2947,0.0309981167608,2972,0.8186111111111111,0.4044791313199864,4.590554773733615,4.787150127226464,4.684074702239409,4.80490842490842,4.755349128036443,3.9659732922444784,4.204981766676774,4.793454491725765,4.728546256811169,22
2112,0.0218173258004,2125,0.5866666666666667,0.3835227272727273,4.638787939635261,4.819574247144341,4.744042185089039,4.826479076479078,4.795394501963578,4.002325581395349,4.3609281525258625,4.79721007703519,4.764349695449656,23
