total_output,density,generated_cars,flow,%_to_Utrecht,total_average_speed,average_speed:R8,average_speed:R5,average_speed:R6,average_speed:R9,average_speed:R2,average_speed:R1,average_speed:R7,average_speed:R10,hour
1061,0.0107580037665,1070,0.2947222222222222,0.3411875589066918,4.673791501030478,4.814971751412429,4.794833618209451,4.83358134920635,4.811447811447811,4.057453416149069,4.468279127212842,4.802337398373985,4.807427536231886,0
600,0.00604519774011,601,0.16666666666666666,0.42833333333333334,4.6793265247928195,4.816279069767442,4.792546260099031,4.8547671840354765,4.792980102839257,4.0024390243902435,4.542033898305087,4.801354401805869,4.832212257100151,1
370,0.00373352165725,373,0.10277777777777777,0.3567567567567568,4.691699852602192,4.819852941176471,4.816965310472446,4.818532818532819,4.822044334975369,4.109649122807017,4.54703279018306,4.782442748091603,4.817078754578755,2
277,0.00280602636535,282,0.07694444444444444,0.37906137184115524,4.675869835973801,4.819047619047619,4.804600992745323,4.7974683544303796,4.818181818181818,4.019230769230769,4.561223263638548,4.782786885245901,4.804418985270049,3
403,0.0040395480226,405,0.11194444444444444,0.4119106699751861,4.688932899082666,4.818181818181818,4.797887542715128,4.833333333333333,4.806431072906718,4.128712871287129,4.534237655995656,4.7765486725663715,4.816130225675175,4
926,0.00939265536723,930,0.25722222222222224,0.4060475161987041,4.67077153000315,4.776190476190476,4.786140679488921,4.828804347826087,4.8057734759721535,4.048295454545454,4.493761592882582,4.817251461988304,4.8099547511312215,5
3592,0.0398258003766,3616,0.9977777777777778,0.388641425389755,4.538978757614149,4.818313113807048,4.4655974072053715,4.812327506899723,4.704834802718456,4.037037037037037,3.9419422666956683,4.807960672375515,4.723817254174375,6
6508,0.120277777778,6589,1.8077777777777777,0.4237861094038107,3.8281772704406634,4.818516366453613,2.289500206708146,4.806033452807642,3.7637789517175486,3.902417962003455,2.22953748607048,4.7946672760184175,4.020966461746003,7
7137,0.138347457627,7239,1.9825,0.431553874176825,3.6589046110809833,4.7848397699260445,2.1239339952345384,4.775226165622808,3.595173603885693,3.6050109352888207,2.0180012339681306,4.788865183379033,3.5801860013427995,8
6166,0.0869774011299,6221,1.7127777777777777,0.41923451183911775,4.109470829894314,4.779142581888251,3.2315387990529763,4.7862958226768795,4.279985070717276,3.766365007541478,2.988792242201489,4.794268857985664,4.249378257090496,9
5503,0.0710028248588,5547,1.5286111111111111,0.4081410139923678,4.258167611869437,4.769476214155479,3.623721619883185,4.789414267015693,4.498093240217659,3.826415394402039,3.3365133657694126,4.788348972296683,4.433357821215349,10
5634,0.072302259887,5685,1.565,0.40770323038693645,4.238913398414506,4.786569940476191,3.589335531105387,4.783048162230662,4.483417835239067,3.7330476620057156,3.342949992676725,4.782824263794901,4.410113799787399,11
6207,0.0872080979284,6270,1.7241666666666666,0.4145319800225552,4.087839552163858,4.770093062605752,3.1457777773756517,4.780708661417311,4.322251269001885,3.6762575452716306,3.045266007306983,4.785084185518016,4.1772779088136405,12
6192,0.0880696798493,6256,1.72,0.4161821705426357,4.088183170094287,4.8038124156545186,3.062395988344321,4.78618932283781,4.311742311135105,3.685846030473134,3.022326945442252,4.790670762928808,4.242481583938344,13
6950,0.115037664783,7036,1.9305555555555556,0.4227338129496403,3.8484530618183816,4.784362982260262,2.5299502004450503,4.76570531400964,4.034492507248718,3.542440163455923,2.498030877482888,4.793919930593431,3.8387225190511383,14
7504,0.146563088512,7626,2.0844444444444443,0.4396321961620469,3.567295859321619,4.775867995874865,2.155474006188404,4.743680437653251,3.536447789557391,3.3487026270456495,1.8866477784366913,4.78355858639964,3.3079876534170567,15
7504,0.155918079096,7629,2.0844444444444443,0.4388326226012793,3.5343351753531955,4.770179738562087,1.9610638233850286,4.744109277176986,3.531448871936148,3.4255284552845535,1.7796728254284173,4.788646544001087,3.2740318670512565,16
7380,0.131643126177,7500,2.05,0.43468834688346886,3.661793278383815,4.784642898350061,2.342708264389321,4.739523541549401,3.690106168023168,3.327542960828262,2.2247866001226257,4.778831716806383,3.406204077001298,17
6405,0.0871468926554,6473,1.7791666666666666,0.4238875878220141,4.088072710726962,4.776123974029154,3.3341021616917494,4.766575355632429,4.315378537175905,3.509031198686369,3.0942817103384543,4.782641679710061,4.126447068551579,18
4439,0.0495291902072,4476,1.2330555555555556,0.40256814597882407,4.477678674699431,4.800248138957817,4.37498878470088,4.798064445177602,4.706826518836018,3.853266090297792,3.8974175143014715,4.798100687599163,4.592517217724704,19
3486,0.036972693032,3509,0.9683333333333334,0.3970166379804934,4.567463311965946,4.805538140020899,4.622552626734352,4.817979797979795,4.737688447576324,3.9424603174603177,4.118664762603343,4.785973735680355,4.708848667672183,20
3056,0.0323446327684,3082,0.8488888888888889,0.3887434554973822,4.5897824822858135,4.797655453618757,4.664479315767963,4.800089847259658,4.752862926547126,3.9811320754716975,4.179528701693649,4.799861111111106,4.742650426816556,21
2983,0.0312052730697,2999,0.8286111111111111,0.39322829366409656,4.602389710978064,4.7974937343358395,4.697597722611652,4.792652089840845,4.77793663003662,3.9668479668479666,4.252256144393236,4.793339706819629,4.7409936929387175,22
2166,0.0225612052731,2171,0.6016666666666667,0.39012003693444136,4.638733074133891,4.78309756982227,4.741437562779184,4.827723873054376,4.775653345160069,4.078203639179249,4.331022663127915,4.799556213017753,4.7731697269303135,23
