total_output,density,generated_cars,flow,%_to_Utrecht,total_average_speed,average_speed:R8,average_speed:R5,average_speed:R6,average_speed:R9,average_speed:R2,average_speed:R1,average_speed:R7,average_speed:R10,hour
1032,0.0104708097928,1038,0.2866666666666667,0.37209302325581395,4.678178381955021,4.773809523809524,4.791463296749044,4.842270531400966,4.798696319018406,4.10410094637224,4.527672181429495,4.796601699150425,4.7908125577100655,0
585,0.00594161958569,587,0.1625,0.38461538461538464,4.678010364701947,4.788679245283019,4.799191612984709,4.813291139240507,4.80436278557666,4.060185185185185,4.519140800719745,4.820276497695852,4.818955650929901,1
350,0.00354048964218,352,0.09722222222222222,0.40285714285714286,4.676530009478839,4.819672131147541,4.80790665273424,4.820093457943925,4.82051282051282,3.906862745098039,4.563745597679718,4.852459016393443,4.820987654320987,2
275,0.00281073446328,277,0.0763888888888889,0.3781818181818182,4.698921388786715,4.826612903225806,4.786804684232539,4.826086956521739,4.83256880733945,4.086206896551724,4.57194337194337,4.816205533596838,4.844941956882256,3
351,0.0035593220339,354,0.0975,0.41025641025641024,4.677208283260386,4.745454545454545,4.799433899433899,4.81496062992126,4.8193146417445485,4.111111111111111,4.537123365548608,4.787313432835821,4.802954640033292,4
959,0.00981167608286,963,0.2663888888888889,0.3983315954118874,4.675459844235731,4.771084337349397,4.7943325478339265,4.779552715654952,4.798693467336685,4.17037037037037,4.501699777156128,4.784722222222222,4.803223315962172,5
3451,0.0378389830508,3476,0.9586111111111111,0.38510576644450883,4.553331065707356,4.802112676056338,4.484816606795571,4.803356392518576,4.730324851147289,4.0640625,4.015155972943293,4.792908388520972,4.733911137676813,6
6458,0.113338041431,6551,1.7938888888888889,0.4252090430473831,3.8596737933618037,4.780557108254146,2.5349834804021736,4.818460523158144,3.756823952891679,3.9608069164265123,2.310321133967766,4.798399803052677,3.917037428741331,7
7051,0.128474576271,7152,1.958611111111111,0.4339809956034605,3.7432124481888973,4.787642847308269,2.3740293393762664,4.782753052780278,3.704836610152703,3.6800990099009896,2.1329361775343276,4.797950946910875,3.685451601547469,8
6233,0.093945386064,6314,1.7313888888888889,0.4168137333547248,4.0392191039537275,4.7825760983655705,2.932734300716383,4.791740273396415,4.214446180119167,3.759040536599592,2.8452618846106623,4.786662611326865,4.201290946495166,9
5457,0.0704519774011,5505,1.5158333333333334,0.4035184167124794,4.265833839711891,4.7982566953006565,3.5881817269925356,4.79322863897331,4.460944141028518,3.8605018278497836,3.3437925759906113,4.794872235590687,4.486892875969024,10
5796,0.0772175141243,5837,1.61,0.4109730848861284,4.19724693034045,4.79709018214127,3.4853173051766504,4.784735740450015,4.4241126975187255,3.7720180810732002,3.203399611855585,4.785460761966768,4.325841062541388,11
6145,0.0851035781544,6209,1.7069444444444444,0.4179007323026851,4.126252893163081,4.7882002801120445,3.257000866562291,4.777555958862658,4.340475837996729,3.764076346284938,3.0441679782741042,4.784401424121035,4.254144453090851,12
6222,0.0876694915254,6281,1.7283333333333333,0.4214079074252652,4.097371136006016,4.79401436552274,3.1216937990368776,4.769906159528782,4.355646235859793,3.66108115048793,3.075244216244681,4.788279508805644,4.213103652561681,13
6860,0.10788606403,6939,1.9055555555555554,0.4221574344023324,3.913353100491898,4.783847227509195,2.728112749199513,4.772411306605114,4.030261907139838,3.607388616748308,2.596635164757512,4.791149342991888,3.99701848898382,14
7525,0.158460451977,7658,2.0902777777777777,0.439468438538206,3.496811406313114,4.786469843462243,2.0440775189991065,4.740079140757461,3.4870731471645824,3.255336094297546,1.6258029724603538,4.788380276835672,3.2472722565279453,15
7419,0.147457627119,7537,2.0608333333333335,0.43766006200296537,3.5892644139484244,4.789996514464962,2.1296585704787065,4.748373867429637,3.6461451624475116,3.4179537736882453,1.8424495637323617,4.775377111686264,3.3641607476597057,16
7318,0.13777306968,7430,2.0327777777777776,0.43194861984148675,3.658481578018713,4.776163127973076,2.2282899796204276,4.749352429570781,3.746861208911428,3.4279462926723183,2.0609499829330202,4.785150172328877,3.493139430139776,17
6375,0.0871939736347,6441,1.7708333333333333,0.42054901960784313,4.0930735552101005,4.780319871557364,3.304003889343385,4.770526819923348,4.331340819944981,3.543517546927829,3.045057849748438,4.78334500130404,4.186476642931419,18
4466,0.0490677966102,4500,1.2405555555555556,0.4169278996865204,4.481087604666822,4.787507701786814,4.468230638951588,4.79460177951388,4.694411799258062,3.807988072818583,3.922968540629489,4.78262411347516,4.590368190901,19
3478,0.037565913371,3499,0.9661111111111111,0.4013801035077631,4.553191127945204,4.815692640692642,4.57575804130738,4.818280905077264,4.732539329492162,3.901095732410611,4.087985790287597,4.789448642597256,4.70472794169672,20
3136,0.0331450094162,3156,0.8711111111111111,0.3950892857142857,4.586662854197068,4.782077625570776,4.667281962011449,4.799528955389304,4.7749173178798126,3.959646609360077,4.184653578800727,4.793578887948067,4.73161789661633,21
2902,0.0303389830508,2919,0.8061111111111111,0.39110957960027565,4.597702480023642,4.8044066962087655,4.682922005785892,4.804544773884395,4.772624325220893,3.950539331754802,4.2862998546713325,4.787641614807721,4.692641237855339,22
2234,0.0230838041431,2248,0.6205555555555555,0.37332139659803043,4.630700239884231,4.773936170212766,4.733104463011769,4.819387755102042,4.776223533495305,4.047252747252747,4.3369787443921926,4.791892151218578,4.7668263543884475,23
