total_output,density,generated_cars,flow,%_to_Utrecht,total_average_speed,average_speed:R8,average_speed:R5,average_speed:R6,average_speed:R9,average_speed:R2,average_speed:R1,average_speed:R7,average_speed:R10,hour
1024,0.0103813559322,1027,0.28444444444444444,0.375,4.66569063912497,4.833333333333333,4.787971354166652,4.807210708117443,4.8059000861326435,4.009383378016086,4.465990114080628,4.810951760104302,4.804784379048678,0
564,0.00570150659134,568,0.15666666666666668,0.38475177304964536,4.678036284384807,4.7979274611398965,4.803867081228131,4.820601851851852,4.814347604485219,4.002463054187192,4.541527777777779,4.821063394683026,4.822492049725354,1
342,0.00345574387947,346,0.095,0.42105263157894735,4.675113123555015,4.756302521008403,4.81097236981934,4.78988326848249,4.813965884861407,4.051724137931035,4.548568191182531,4.828070175438596,4.801418439716312,2
312,0.00314971751412,313,0.08666666666666667,0.36538461538461536,4.677127040153283,4.763440860215054,4.800322927879443,4.819444444444445,4.798657718120806,4.097938144329897,4.557912568306011,4.8008474576271185,4.77845220030349,3
391,0.00394538606403,397,0.10861111111111112,0.41687979539641945,4.6860754669420475,4.823529411764706,4.794327628361859,4.818407960199005,4.80891360412637,4.133333333333334,4.535539752005835,4.765822784810126,4.808729260935142,4
917,0.00931732580038,923,0.25472222222222224,0.4187568157033806,4.686715197777875,4.814814814814815,4.788488842305562,4.8,4.7949842218900525,4.181818181818182,4.4914750638676,4.809523809523809,4.812616648002987,5
3491,0.0384510357815,3515,0.9697222222222223,0.39816671440847895,4.53973784175865,4.788907284768212,4.470637643379692,4.823154056517775,4.734508393285351,4.024208566108007,3.965154866738186,4.79709435194254,4.714237571329439,6
6497,0.119053672316,6583,1.8047222222222221,0.4237340310912729,3.8366425001444915,4.800086855819341,2.3414557596850014,4.806627155172409,3.8269221877170083,3.8911814584511024,2.205840262435221,4.794230315888725,4.026796005987128,7
7133,0.139698681733,7236,1.9813888888888889,0.43347819991588393,3.674069839205487,4.796078431372545,2.1775586595022394,4.773524720893135,3.651885725897282,3.6887503247596776,1.9184174963349634,4.785141725083793,3.601201629800262,8
6262,0.0928719397363,6340,1.7394444444444443,0.4247844139252635,4.044345474577643,4.781389273090518,3.0869646849332506,4.797437929212879,4.077707518592204,3.8344390387734046,2.8339586890659363,4.789865374259542,4.153001288693412,9
5394,0.0677165725047,5428,1.4983333333333333,0.407119021134594,4.301006952989964,4.800878056786478,3.7775683902151176,4.811782080735146,4.502464349417265,3.86709486166008,3.3912184297700354,4.801766592647415,4.455282862688181,10
5687,0.0740913370998,5732,1.5797222222222222,0.4084754703710216,4.238346335845072,4.7990556516724325,3.5398494605261446,4.768514987819075,4.496381576818791,3.747448979591837,3.3170089754394,4.787463924963914,4.451047129928981,11
6232,0.0876271186441,6300,1.731111111111111,0.42105263157894735,4.087115251054596,4.799113767518546,3.152206167185242,4.7817739671078785,4.280949804024398,3.715792284074223,3.0330584943429364,4.7850558659217715,4.148971658261773,12
6174,0.0872410546139,6231,1.715,0.41221250404923876,4.109643975922741,4.782123098201933,3.1429372471739483,4.778424623366232,4.335786776182639,3.726605868358446,3.054029581642304,4.796171151236195,4.261073461220229,13
6788,0.110979284369,6866,1.8855555555555557,0.4213317619328226,3.884473433865857,4.78718153928238,2.6024532257508355,4.774397204999491,3.998120035142074,3.603000504286434,2.520563847139182,4.785921419189057,4.004149695137402,14
7547,0.158210922787,7670,2.096388888888889,0.4400424009540215,3.503481499882222,4.771601458885934,1.958978041968072,4.73077499765718,3.5306139518926343,3.301784022734446,1.7409111249254394,4.781960800632488,3.2112276003615863,15
7454,0.147806026365,7582,2.0705555555555555,0.4329219211161792,3.57088909343383,4.776024734982325,2.1334229416855517,4.749096045197716,3.5935426662028855,3.401542304768109,1.8556825608310965,4.7851768727092825,3.2726246210936716,16
7382,0.140169491525,7499,2.0505555555555555,0.43240314277973446,3.614016959763482,4.773202727693017,2.2398224344509514,4.741148642255632,3.637246963687229,3.3711651436031285,2.057999522659082,4.780095183234562,3.311455060524255,17
6364,0.0888418079096,6430,1.7677777777777777,0.42426147077309867,4.075102903877409,4.789397307644805,3.2156777690703056,4.774878451964197,4.307741104019476,3.5741797432239677,3.014339934136395,4.795650577050739,4.128958343909384,18
4443,0.0493879472693,4470,1.2341666666666666,0.4060319603871258,4.481610651028918,4.7954730499918545,4.411367507490338,4.7959240647682755,4.68753020440789,3.864404000655845,3.8768632367995153,4.792305871212116,4.629017272905507,19
3469,0.0369868173258,3492,0.9636111111111111,0.40098010954165464,4.562560666221211,4.791275006025548,4.589633830516667,4.808696879853165,4.74835245772744,3.9234363767074054,4.145833429382218,4.793302246714709,4.699955102842531,20
3127,0.0327589453861,3144,0.8686111111111111,0.3952670291013751,4.5951741529035255,4.7944567083639935,4.687496957410437,4.811290322580644,4.7644187142132175,3.9449382716049386,4.228290528973543,4.803526611856339,4.7269751082250915,21
2834,0.0296986817326,2856,0.7872222222222223,0.3952011291460833,4.600944242507677,4.80152266288952,4.691057924228571,4.810585786500147,4.771355113292125,3.9557394273706334,4.253486380162358,4.796940928270043,4.726865717348018,22
2129,0.0222645951036,2142,0.5913888888888889,0.38750587130108033,4.642296007255255,4.78909691629956,4.7511031195381515,4.821034136546185,4.791348337286162,4.067455621301775,4.353986037603057,4.799305129777234,4.765038759689917,23
