total_output,density,generated_cars,flow,%_to_Utrecht,total_average_speed,average_speed:R8,average_speed:R5,average_speed:R6,average_speed:R9,average_speed:R2,average_speed:R1,average_speed:R7,average_speed:R10,hour
1041,0.0105743879473,1047,0.2891666666666667,0.3765609990393852,4.6707659742217515,4.779829545454546,4.778187656641582,4.819422977846471,4.796526369168357,4.10200668896321,4.473586942963171,4.812283737024221,4.804283875712449,0
603,0.00609698681733,610,0.1675,0.38308457711442784,4.676832313377796,4.8357933579335795,4.789534595865822,4.791196388261851,4.801050473994364,4.068253968253968,4.536381431767336,4.778205128205128,4.814243162740319,1
329,0.00330508474576,331,0.0913888888888889,0.3434650455927052,4.686442104587509,4.793478260869565,4.798991610196839,4.804878048780488,4.810910772075821,4.086021505376344,4.561213991769547,4.836405529953917,4.799637117677554,2
314,0.00318738229755,317,0.08722222222222223,0.40445859872611467,4.695465900551535,4.867768595041323,4.796685133887351,4.8283582089552235,4.805735230702889,4.095652173913043,4.535640138408306,4.8120567375886525,4.821830985915493,3
417,0.00424199623352,419,0.11583333333333333,0.4028776978417266,4.6784287559549975,4.747747747747748,4.791075172207247,4.83,4.814114987080105,4.069148936170213,4.53506871035941,4.831730769230769,4.808543724844493,4
933,0.00943032015066,939,0.25916666666666666,0.3858520900321543,4.689882221323774,4.818181818181818,4.793307652799161,4.823920265780731,4.791793699186994,4.184210526315789,4.508432408630559,4.800970873786408,4.798240525908741,5
3517,0.0387335216573,3542,0.9769444444444444,0.3832812055729315,4.538863880017914,4.778376990241397,4.500798398205934,4.818762561010623,4.7143940343837745,4.038280329799764,3.9430076048672933,4.786301369863015,4.7309897517715065,6
6507,0.115536723164,6601,1.8075,0.42584908560012297,3.8547624165538754,4.788112607557053,2.496598922813122,4.8083542488347035,3.8173077103263053,3.8981379056047207,2.2775855620446026,4.790256027839918,3.961746347410577,7
7143,0.134260828625,7267,1.9841666666666666,0.4379112417751645,3.6990981832317966,4.795708827943784,2.237639629667531,4.761537707168761,3.692304393515416,3.622985661718055,2.0905185929697176,4.783157471610873,3.6089331812602334,8
6224,0.0903107344633,6285,1.728888888888889,0.4214331619537275,4.072627438118638,4.795110811620244,3.0238611994943434,4.78904971680301,4.2559845935682015,3.834334223013049,2.8891682636348546,4.795355541319654,4.198155155495748,9
5364,0.0670715630885,5415,1.49,0.4133109619686801,4.305503588397344,4.771906163151872,3.7866187385561263,4.795106930914786,4.52763685555946,3.8441119691119705,3.4413956821833844,4.801419288645681,4.475833079055475,10
5636,0.0719915254237,5683,1.5655555555555556,0.41536550745209366,4.2620603895604825,4.793927469135802,3.6426760457176885,4.800764284208299,4.452931701966924,3.863038548752835,3.3286839611848373,4.793578643578631,4.420882461938844,11
6331,0.0897740112994,6389,1.7586111111111111,0.4127310061601643,4.079396885149139,4.789033306255076,3.135330016379603,4.764225115911988,4.324220604783155,3.647951294936221,2.9682086295436707,4.794269111311478,4.211937002071924,12
6333,0.0913088512241,6407,1.7591666666666668,0.4176535607137218,4.066493486199804,4.780571389793701,3.1046718784767813,4.7805446885344365,4.2269185441859225,3.7136303630363026,2.91463598695861,4.794507956355397,4.2164670822572825,13
6768,0.106699623352,6842,1.88,0.4224290780141844,3.9104093027945277,4.799672951135052,2.708661190885237,4.778091085271303,4.074414476237826,3.558211678832119,2.6400745215999764,4.793151839730224,3.9309966786644823,14
7502,0.152806026365,7630,2.0838888888888887,0.4336177019461477,3.5356795590518866,4.779555634134836,2.037767701642915,4.738606163415303,3.560195588038223,3.2934810328339177,1.802494887656642,4.779657928605274,3.2936775360879804,15
7453,0.15475047081,7567,2.0702777777777777,0.4386153226888501,3.5387643989222957,4.794938488576445,1.9859405745471346,4.750217309145862,3.5123582780521803,3.4536176568204398,1.7850631411293292,4.78251477383349,3.2454649692734847,16
7358,0.137142184557,7484,2.043888888888889,0.4343571622723566,3.6620361743539,4.785108104983229,2.3009136964278945,4.737900956668522,3.7201021883972896,3.4200344864748344,2.0507164114577834,4.779442843419764,3.5020707070018764,17
6435,0.0909369114878,6517,1.7875,0.4222222222222222,4.046686498761476,4.78482404692082,3.1745643819546263,4.76175646967939,4.32115237012144,3.520427677329626,2.9713655872323903,4.775427278349336,4.063974178504178,18
4475,0.0490677966102,4509,1.2430555555555556,0.4122905027932961,4.486524874149913,4.789027511196418,4.478250259731174,4.799012305699472,4.6909470310069965,3.819333333333334,3.928172795863678,4.79548541527498,4.591970341093249,19
3540,0.0378201506591,3563,0.9833333333333333,0.3954802259887006,4.556184604107731,4.7954113924050645,4.59620795080287,4.797179383116881,4.750988319856223,3.925275482093663,4.109686367889926,4.783250301932366,4.6914776347648575,20
3037,0.0318314500942,3051,0.8436111111111111,0.396773131379651,4.594719788379434,4.788540163540164,4.685087916136064,4.819739252995068,4.766600306278706,3.983730750124192,4.22049656537961,4.784927658378985,4.708635694202695,21
2975,0.0311440677966,2997,0.8263888888888888,0.40436974789915964,4.596498642925672,4.808696161048691,4.663232565155633,4.799160316116287,4.766620117874723,3.96917641325536,4.238684541428652,4.789623697580298,4.736795330945731,22
2173,0.0224670433145,2191,0.6036111111111111,0.38610216290842153,4.639377212793669,4.799671592775041,4.7530412202195045,4.818550567874528,4.780783210223935,4.0416238437821175,4.359361549408824,4.7886775362318845,4.773308181833518,23
