total_output,density,generated_cars,flow,average_speed:R1,total_average_speed,hour
1072,0.0129055555556,1083,0.29777777777777775,4.696038846978344,4.696038846978344,0
579,0.00687777777778,579,0.16083333333333333,4.712100209815705,4.712100209815705,1
355,0.00421111111111,359,0.09861111111111111,4.71086771835771,4.71086771835771,2
307,0.00371666666667,308,0.08527777777777777,4.709657823358519,4.709657823358519,3
405,0.00477777777778,406,0.1125,4.71482888917514,4.71482888917514,4
957,0.0114388888889,962,0.2658333333333333,4.691189208168383,4.691189208168383,5
3508,0.0442333333333,3538,0.9744444444444444,4.463894529102133,4.463894529102133,6
6536,0.113533333333,6596,1.8155555555555556,3.2859623946972176,3.2859623946972176,7
7236,0.156538888889,7323,2.01,2.640272195950978,2.640272195950978,8
6228,0.10155,6277,1.73,3.498771576312513,3.498771576312513,9
5439,0.0795944444444,5477,1.5108333333333333,3.874295247479299,3.874295247479299,10
5661,0.0845333333333,5693,1.5725,3.818090611119551,3.818090611119551,11
6140,0.103655555556,6182,1.7055555555555555,3.4001088707429843,3.4001088707429843,12
6294,0.106022222222,6343,1.7483333333333333,3.388462935264915,3.388462935264915,13
6832,0.131244444444,6895,1.8977777777777778,2.97490175359305,2.97490175359305,14
7604,0.190977777778,7704,2.112222222222222,2.287067917850004,2.287067917850004,15
7428,0.172894444444,7514,2.0633333333333335,2.452717336544256,2.452717336544256,16
7321,0.1651,7414,2.033611111111111,2.5462192984977823,2.5462192984977823,17
6454,0.111372222222,6495,1.7927777777777778,3.295897670740902,3.295897670740902,18
4450,0.0597277777778,4473,1.2361111111111112,4.212185495357668,4.212185495357668,19
3515,0.0447277777778,3539,0.9763888888888889,4.451530283970636,4.451530283970636,20
3013,0.0373944444444,3022,0.8369444444444445,4.524586166870449,4.524586166870449,21
2979,0.037,2999,0.8275,4.532594717942114,4.532594717942114,22
2161,0.0264666666667,2176,0.6002777777777778,4.610722990039889,4.610722990039889,23
