total_output,density,generated_cars,flow,average_speed:R1,total_average_speed,hour
1040,0.0123833333333,1045,0.28888888888888886,4.687652269561797,4.687652269561797,0
597,0.00704444444444,599,0.16583333333333333,4.71138397864672,4.71138397864672,1
366,0.00435555555556,370,0.10166666666666667,4.708306535688577,4.708306535688577,2
314,0.00371666666667,316,0.08722222222222223,4.715418192918187,4.715418192918187,3
389,0.00459444444444,392,0.10805555555555556,4.7169196562192575,4.7169196562192575,4
926,0.0110944444444,937,0.25722222222222224,4.689993427535294,4.689993427535294,5
3519,0.0442111111111,3545,0.9775,4.458695343735279,4.458695343735279,6
6484,0.114983333333,6525,1.801111111111111,3.2219199919669523,3.2219199919669523,7
7294,0.152988888889,7359,2.026111111111111,2.716653483293087,2.716653483293087,8
6150,0.09985,6199,1.7083333333333333,3.526130847433382,3.526130847433382,9
5460,0.0795444444444,5510,1.5166666666666666,3.896021809596909,3.896021809596909,10
5688,0.0859166666667,5727,1.58,3.7627842396626696,3.7627842396626696,11
6263,0.102683333333,6323,1.7397222222222222,3.4661781827211273,3.4661781827211273,12
6287,0.104805555556,6333,1.746388888888889,3.4070240894469577,3.4070240894469577,13
6871,0.134611111111,6958,1.908611111111111,2.93289297426793,2.93289297426793,14
7599,0.188722222222,7687,2.1108333333333333,2.296367412601169,2.296367412601169,15
7527,0.185555555556,7622,2.0908333333333333,2.3213045400900527,2.3213045400900527,16
7355,0.168127777778,7451,2.0430555555555556,2.4941673778666593,2.4941673778666593,17
6261,0.105244444444,6311,1.7391666666666667,3.4103100059818887,3.4103100059818887,18
4493,0.0594888888889,4528,1.2480555555555555,4.252221368583761,4.252221368583761,19
3479,0.0438222222222,3503,0.9663888888888889,4.4665799559603,4.4665799559603,20
3043,0.0377833333333,3058,0.8452777777777778,4.527911889710565,4.527911889710565,21
2910,0.0360777777778,2932,0.8083333333333333,4.555329247888461,4.555329247888461,22
2188,0.0266555555556,2213,0.6077777777777778,4.6115335028356546,4.6115335028356546,23
