total_output,density,generated_cars,flow,average_speed:R1,total_average_speed,hour
1014,0.0120833333333,1021,0.2816666666666667,4.689440070143399,4.689440070143399,0
569,0.00678888888889,572,0.15805555555555556,4.698009975639279,4.698009975639279,1
385,0.0046,386,0.10694444444444444,4.700391208791198,4.700391208791198,2
301,0.00355,303,0.08361111111111111,4.708616855681558,4.708616855681558,3
418,0.00504444444444,422,0.11611111111111111,4.703939355493513,4.703939355493513,4
963,0.0115333333333,969,0.2675,4.686002744650923,4.686002744650923,5
3493,0.0439666666667,3515,0.9702777777777778,4.46151538835004,4.46151538835004,6
6427,0.110311111111,6493,1.7852777777777777,3.3190011403568183,3.3190011403568183,7
7233,0.149777777778,7298,2.0091666666666668,2.7507185690519456,2.7507185690519456,8
6208,0.102022222222,6267,1.7244444444444444,3.472320598847581,3.472320598847581,9
5558,0.0817611111111,5603,1.5438888888888889,3.8677568095232897,3.8677568095232897,10
5687,0.086,5736,1.5797222222222222,3.765097202218236,3.765097202218236,11
6190,0.100116666667,6232,1.7194444444444446,3.5074129592863628,3.5074129592863628,12
6333,0.106394444444,6380,1.7591666666666668,3.394827903217354,3.394827903217354,13
6806,0.130577777778,6886,1.8905555555555555,2.969970782822253,2.969970782822253,14
7561,0.189561111111,7654,2.100277777777778,2.2845120639042813,2.2845120639042813,15
7539,0.190727777778,7634,2.0941666666666667,2.263842318528287,2.263842318528287,16
7290,0.161494444444,7387,2.025,2.565819025910138,2.565819025910138,17
6368,0.109305555556,6416,1.768888888888889,3.347640801852864,3.347640801852864,18
4434,0.05815,4463,1.2316666666666667,4.2970196402530645,4.2970196402530645,19
3535,0.0445,3559,0.9819444444444444,4.468202372089082,4.468202372089082,20
3066,0.0381111111111,3086,0.8516666666666667,4.520841736484195,4.520841736484195,21
2929,0.0364222222222,2952,0.8136111111111111,4.526014343150014,4.526014343150014,22
2149,0.0260611111111,2159,0.5969444444444445,4.618232792777116,4.618232792777116,23
