total_output,density,generated_cars,flow,average_speed:R1,total_average_speed,hour
1040,0.0124388888889,1048,0.28888888888888886,4.675472846273732,4.675472846273732,0
590,0.00708888888889,595,0.1638888888888889,4.711373641907969,4.711373641907969,1
312,0.00371666666667,314,0.08666666666666667,4.717557003257325,4.717557003257325,2
285,0.00336666666667,286,0.07916666666666666,4.722721065484217,4.722721065484217,3
403,0.00473888888889,408,0.11194444444444444,4.718830972534106,4.718830972534106,4
982,0.0117555555556,987,0.2727777777777778,4.694958196857715,4.694958196857715,5
3559,0.0452111111111,3575,0.9886111111111111,4.4302173529762285,4.4302173529762285,6
6523,0.113188888889,6578,1.8119444444444444,3.2844675932986025,3.2844675932986025,7
7272,0.153827777778,7348,2.02,2.6959501584619887,2.6959501584619887,8
6185,0.100805555556,6221,1.7180555555555554,3.5045344582743327,3.5045344582743327,9
5470,0.08,5512,1.5194444444444444,3.8796962018786814,3.8796962018786814,10
5634,0.0850222222222,5670,1.565,3.7666661759378433,3.7666661759378433,11
6253,0.1027,6296,1.7369444444444444,3.488050878374396,3.488050878374396,12
6260,0.104894444444,6310,1.738888888888889,3.4061118154910957,3.4061118154910957,13
6823,0.129616666667,6876,1.8952777777777778,3.006496287340132,3.006496287340132,14
7559,0.19065,7655,2.0997222222222223,2.28205126594098,2.28205126594098,15
7531,0.185927777778,7632,2.0919444444444446,2.306569786031858,2.306569786031858,16
7326,0.162894444444,7414,2.035,2.5642315805505174,2.5642315805505174,17
6493,0.113105555556,6558,1.803611111111111,3.2658715802461757,3.2658715802461757,18
4415,0.0580888888889,4437,1.226388888888889,4.27903466914314,4.27903466914314,19
3509,0.0442166666667,3527,0.9747222222222223,4.450120285863467,4.450120285863467,20
3036,0.0379,3054,0.8433333333333334,4.511376629184371,4.511376629184371,21
2898,0.0357222222222,2916,0.805,4.544361830201603,4.544361830201603,22
2142,0.0260722222222,2152,0.595,4.611208647241131,4.611208647241131,23
