total_output,density,generated_cars,flow,average_speed:R1,total_average_speed,hour
1016,0.0121777777778,1021,0.2822222222222222,4.6826037807063665,4.6826037807063665,0
615,0.00735,618,0.17083333333333334,4.706235419328943,4.706235419328943,1
314,0.0037,316,0.08722222222222223,4.731212134981209,4.731212134981209,2
261,0.0031,263,0.0725,4.726930858026888,4.726930858026888,3
434,0.00511111111111,435,0.12055555555555555,4.7167947244451875,4.7167947244451875,4
936,0.0112277777778,940,0.26,4.688504609675137,4.688504609675137,5
3452,0.0433,3477,0.9588888888888889,4.475693495270107,4.475693495270107,6
6520,0.113961111111,6576,1.8111111111111111,3.2618052981490138,3.2618052981490138,7
7278,0.157483333333,7358,2.0216666666666665,2.651200429892257,2.651200429892257,8
6165,0.0992888888889,6215,1.7125,3.5478729048473063,3.5478729048473063,9
5427,0.0767388888889,5466,1.5075,3.9899420524217204,3.9899420524217204,10
5671,0.0859222222222,5705,1.5752777777777778,3.781419439582001,3.781419439582001,11
6264,0.104194444444,6315,1.74,3.4206321405630296,3.4206321405630296,12
6272,0.10405,6319,1.7422222222222221,3.4543725416705127,3.4543725416705127,13
6849,0.132005555556,6916,1.9025,2.961660085633772,2.961660085633772,14
7616,0.200827777778,7711,2.1155555555555554,2.173040092647774,2.173040092647774,15
7519,0.18205,7643,2.088611111111111,2.3622730488844477,2.3622730488844477,16
7404,0.170833333333,7499,2.0566666666666666,2.47418898523316,2.47418898523316,17
6346,0.108077777778,6406,1.7627777777777778,3.3487792196160067,3.3487792196160067,18
4503,0.0589333333333,4531,1.2508333333333332,4.30625623364552,4.30625623364552,19
3446,0.0435055555556,3463,0.9572222222222222,4.479565326744644,4.479565326744644,20
3061,0.0378666666667,3082,0.8502777777777778,4.525064864026775,4.525064864026775,21
2910,0.0358444444444,2929,0.8083333333333333,4.547279460951563,4.547279460951563,22
2186,0.0266444444444,2203,0.6072222222222222,4.604168949560717,4.604168949560717,23
