total_output,density,generated_cars,flow,average_speed:R1,total_average_speed,hour
1037,0.01235,1043,0.28805555555555556,4.683422580729095,4.683422580729095,0
634,0.00765,640,0.1761111111111111,4.691906724353526,4.691906724353526,1
362,0.00427777777778,364,0.10055555555555555,4.717813934084264,4.717813934084264,2
269,0.00321111111111,273,0.07472222222222222,4.729010416666659,4.729010416666659,3
410,0.00493888888889,414,0.11388888888888889,4.709278228497346,4.709278228497346,4
916,0.0109222222222,922,0.2544444444444444,4.693124567121207,4.693124567121207,5
3471,0.0440555555556,3492,0.9641666666666666,4.4328903313118415,4.4328903313118415,6
6550,0.113972222222,6618,1.8194444444444444,3.2747111030165885,3.2747111030165885,7
7279,0.156283333333,7345,2.0219444444444443,2.666316215634098,2.666316215634098,8
6226,0.104288888889,6271,1.7294444444444443,3.4167762736125296,3.4167762736125296,9
5432,0.07965,5475,1.508888888888889,3.8660212848024855,3.8660212848024855,10
5733,0.0867833333333,5784,1.5925,3.7628111658663492,3.7628111658663492,11
6180,0.100966666667,6234,1.7166666666666666,3.471822468646289,3.471822468646289,12
6321,0.106772222222,6379,1.7558333333333334,3.3853009775518936,3.3853009775518936,13
6868,0.129677777778,6922,1.9077777777777778,3.0185328347194678,3.0185328347194678,14
7578,0.194322222222,7690,2.105,2.2423920069194194,2.2423920069194194,15
7485,0.183838888889,7596,2.0791666666666666,2.332808473012265,2.332808473012265,16
7348,0.167027777778,7431,2.0411111111111113,2.5254794422425104,2.5254794422425104,17
6374,0.107111111111,6429,1.7705555555555557,3.398995630589508,3.398995630589508,18
4493,0.0593277777778,4528,1.2480555555555555,4.269750360032673,4.269750360032673,19
3486,0.0437777777778,3512,0.9683333333333334,4.482240633747712,4.482240633747712,20
3073,0.0383388888889,3094,0.8536111111111111,4.510955145526519,4.510955145526519,21
2897,0.0357722222222,2915,0.8047222222222222,4.551394395001204,4.551394395001204,22
2206,0.0270055555556,2215,0.6127777777777778,4.601309544177405,4.601309544177405,23
