total_output,density,generated_cars,flow,average_speed:R1,total_average_speed,hour
1034,0.0124055555556,1040,0.2872222222222222,4.687548777671031,4.687548777671031,0
582,0.007,584,0.16166666666666665,4.702086761994671,4.702086761994671,1
369,0.0043,371,0.1025,4.716627879221855,4.716627879221855,2
289,0.00339444444444,291,0.08027777777777778,4.706308496174023,4.706308496174023,3
389,0.00463333333333,393,0.10805555555555556,4.723705780210714,4.723705780210714,4
888,0.0106388888889,891,0.24666666666666667,4.702306789848802,4.702306789848802,5
3580,0.0455777777778,3601,0.9944444444444445,4.4405782850669535,4.4405782850669535,6
6500,0.11245,6569,1.8055555555555556,3.296769817938547,3.296769817938547,7
7194,0.146111111111,7255,1.9983333333333333,2.8126667184603553,2.8126667184603553,8
6168,0.0999888888889,6235,1.7133333333333334,3.5160198175415687,3.5160198175415687,9
5630,0.0840166666667,5666,1.5638888888888889,3.8040894310842406,3.8040894310842406,10
5803,0.0894388888889,5849,1.6119444444444444,3.6811047462072026,3.6811047462072026,11
6204,0.102855555556,6254,1.7233333333333334,3.4507129270579853,3.4507129270579853,12
6298,0.105283333333,6340,1.7494444444444444,3.418081011883685,3.418081011883685,13
6871,0.134094444444,6929,1.908611111111111,2.9376648897329103,2.9376648897329103,14
7586,0.195011111111,7683,2.107222222222222,2.239981253975036,2.239981253975036,15
7533,0.182411111111,7607,2.0925,2.355291912626277,2.355291912626277,16
7430,0.167483333333,7507,2.063888888888889,2.5364284264393913,2.5364284264393913,17
6334,0.105844444444,6391,1.7594444444444444,3.42143281857085,3.42143281857085,18
4447,0.0582111111111,4472,1.2352777777777777,4.297213398433125,4.297213398433125,19
3534,0.0448,3558,0.9816666666666667,4.448910773255625,4.448910773255625,20
3033,0.03765,3054,0.8425,4.528324606965632,4.528324606965632,21
2886,0.0356888888889,2906,0.8016666666666666,4.551543779550115,4.551543779550115,22
2205,0.0267555555556,2218,0.6125,4.609574393530704,4.609574393530704,23
