total_output,density,generated_cars,flow,average_speed:R1,total_average_speed,hour
940,0.0113222222222,948,0.2611111111111111,4.679335630924243,4.679335630924243,0
593,0.00707222222222,595,0.16472222222222221,4.699575859328482,4.699575859328482,1
348,0.00415,350,0.09666666666666666,4.715860771954558,4.715860771954558,2
283,0.00331666666667,284,0.07861111111111112,4.727556515903013,4.727556515903013,3
356,0.00425555555556,358,0.09888888888888889,4.719351680065956,4.719351680065956,4
958,0.0113277777778,958,0.26611111111111113,4.690744183703626,4.690744183703626,5
3551,0.0449722222222,3570,0.9863888888888889,4.4452915116178495,4.4452915116178495,6
6601,0.113877777778,6660,1.833611111111111,3.2913209620937884,3.2913209620937884,7
7265,0.1525,7318,2.0180555555555557,2.712645829499038,2.712645829499038,8
6295,0.104083333333,6355,1.7486111111111111,3.453829424321387,3.453829424321387,9
5530,0.08025,5573,1.5361111111111112,3.900628476985584,3.900628476985584,10
5683,0.0864,5726,1.5786111111111112,3.7502651615070772,3.7502651615070772,11
6031,0.0984777777778,6070,1.6752777777777779,3.4924006159751073,3.4924006159751073,12
6176,0.0995444444444,6230,1.7155555555555555,3.536327806290621,3.536327806290621,13
6869,0.132583333333,6944,1.9080555555555556,2.9586528544746176,2.9586528544746176,14
7564,0.190427777778,7667,2.101111111111111,2.2826780654614938,2.2826780654614938,15
7435,0.173938888889,7530,2.0652777777777778,2.447215815252596,2.447215815252596,16
7348,0.166155555556,7410,2.0411111111111113,2.533002124780318,2.533002124780318,17
6459,0.111944444444,6515,1.7941666666666667,3.2766575609002566,3.2766575609002566,18
4458,0.0590444444444,4497,1.2383333333333333,4.260514162764497,4.260514162764497,19
3521,0.0442777777778,3551,0.9780555555555556,4.466538373492181,4.466538373492181,20
3191,0.0397055555556,3207,0.8863888888888889,4.521250897915223,4.521250897915223,21
3007,0.0373777777778,3024,0.8352777777777778,4.5210887528843795,4.5210887528843795,22
2078,0.0251888888889,2088,0.5772222222222222,4.616482988931893,4.616482988931893,23
