total_output,density,generated_cars,flow,average_speed:R1,total_average_speed,hour
962,0.0115055555556,964,0.26722222222222225,4.687374936496755,4.687374936496755,0
551,0.00658888888889,556,0.15305555555555556,4.705371744166062,4.705371744166062,1
351,0.00413333333333,354,0.0975,4.721817979528242,4.721817979528242,2
254,0.00301666666667,255,0.07055555555555555,4.727492927864211,4.727492927864211,3
400,0.0047,401,0.1111111111111111,4.7230287358808924,4.7230287358808924,4
992,0.0118388888889,997,0.27555555555555555,4.685477583922502,4.685477583922502,5
3452,0.0436055555556,3482,0.9588888888888889,4.453723986570904,4.453723986570904,6
6498,0.112611111111,6562,1.805,3.286151779034952,3.286151779034952,7
7286,0.152622222222,7389,2.023888888888889,2.7260462341887335,2.7260462341887335,8
6162,0.0991777777778,6209,1.7116666666666667,3.5320232195570074,3.5320232195570074,9
5595,0.0831277777778,5634,1.5541666666666667,3.811240731484129,3.811240731484129,10
5677,0.0853777777778,5713,1.5769444444444445,3.773809723081773,3.773809723081773,11
6177,0.100155555556,6223,1.7158333333333333,3.5170672839796095,3.5170672839796095,12
6210,0.102027777778,6252,1.725,3.46899156476156,3.46899156476156,13
6891,0.134727777778,6942,1.9141666666666666,2.9269271895973787,2.9269271895973787,14
7547,0.188827777778,7642,2.096388888888889,2.284320106594126,2.284320106594126,15
7465,0.174527777778,7544,2.073611111111111,2.4509816575236125,2.4509816575236125,16
7355,0.166077777778,7436,2.0430555555555556,2.5224061695238364,2.5224061695238364,17
6357,0.10865,6419,1.7658333333333334,3.347733840868478,3.347733840868478,18
4544,0.0603166666667,4576,1.2622222222222221,4.238250652805694,4.238250652805694,19
3520,0.0445055555556,3535,0.9777777777777777,4.441447093207417,4.441447093207417,20
3072,0.0380833333333,3093,0.8533333333333334,4.532136706739795,4.532136706739795,21
2958,0.0365833333333,2978,0.8216666666666667,4.538872713529373,4.538872713529373,22
2231,0.0271166666667,2243,0.6197222222222222,4.613711862052828,4.613711862052828,23
