total_output,density,generated_cars,flow,average_speed:R1,total_average_speed,hour
988,0.0117888888889,995,0.27444444444444444,4.688678882309763,4.688678882309763,0
587,0.00705555555556,591,0.16305555555555556,4.71417108238103,4.71417108238103,1
356,0.00424444444444,359,0.09888888888888889,4.718409797533498,4.718409797533498,2
321,0.00379444444444,323,0.08916666666666667,4.720352460777985,4.720352460777985,3
403,0.00486666666667,406,0.11194444444444444,4.710582455680328,4.710582455680328,4
912,0.0108277777778,918,0.25333333333333335,4.6908496049827555,4.6908496049827555,5
3538,0.0449111111111,3558,0.9827777777777778,4.432211715402051,4.432211715402051,6
6539,0.115394444444,6594,1.8163888888888888,3.2278662882155498,3.2278662882155498,7
7252,0.152016666667,7324,2.0144444444444445,2.715594486281129,2.715594486281129,8
6274,0.104788888889,6325,1.7427777777777778,3.40935184227964,3.40935184227964,9
5505,0.0826055555556,5563,1.5291666666666666,3.7881485214358976,3.7881485214358976,10
5488,0.0814388888889,5534,1.5244444444444445,3.8252167732354025,3.8252167732354025,11
6186,0.101183333333,6226,1.7183333333333333,3.4791328726135045,3.4791328726135045,12
6343,0.109277777778,6392,1.7619444444444445,3.307127821451404,3.307127821451404,13
6911,0.134427777778,6975,1.9197222222222223,2.9361817578876876,2.9361817578876876,14
7606,0.19265,7705,2.1127777777777776,2.2622566538644477,2.2622566538644477,15
7509,0.179733333333,7595,2.0858333333333334,2.3847885487296443,2.3847885487296443,16
7325,0.163155555556,7420,2.0347222222222223,2.5629298742537476,2.5629298742537476,17
6324,0.105072222222,6374,1.7566666666666666,3.4296897833834783,3.4296897833834783,18
4383,0.0573055555556,4406,1.2175,4.311104299909424,4.311104299909424,19
3466,0.0437611111111,3485,0.9627777777777777,4.4584364560493,4.4584364560493,20
3094,0.0381722222222,3113,0.8594444444444445,4.551255850270288,4.551255850270288,21
2923,0.03595,2939,0.8119444444444445,4.547954280301694,4.547954280301694,22
2144,0.0259444444444,2152,0.5955555555555555,4.613853514253794,4.613853514253794,23
