total_output,density,generated_cars,flow,average_speed:R1,total_average_speed,hour
975,0.0117055555556,982,0.2708333333333333,4.689044440365729,4.689044440365729,0
540,0.00635,544,0.15,4.721058108558096,4.721058108558096,1
340,0.00398888888889,340,0.09444444444444444,4.714544044020016,4.714544044020016,2
294,0.00345555555556,295,0.08166666666666667,4.734909048777654,4.734909048777654,3
413,0.00496111111111,416,0.11472222222222223,4.725178896695276,4.725178896695276,4
928,0.0111,933,0.2577777777777778,4.701899462284715,4.701899462284715,5
3532,0.0444333333333,3561,0.9811111111111112,4.4631827024338335,4.4631827024338335,6
6517,0.112238888889,6565,1.8102777777777779,3.298429279165754,3.298429279165754,7
7278,0.155422222222,7352,2.0216666666666665,2.6723431553321144,2.6723431553321144,8
6240,0.102483333333,6286,1.7333333333333334,3.4649704803354653,3.4649704803354653,9
5500,0.0805222222222,5534,1.5277777777777777,3.870344781423135,3.870344781423135,10
5785,0.0877611111111,5824,1.6069444444444445,3.754065482093754,3.754065482093754,11
6215,0.103333333333,6272,1.726388888888889,3.4262664400538303,3.4262664400538303,12
6259,0.105022222222,6301,1.738611111111111,3.39501812986788,3.39501812986788,13
6820,0.130183333333,6891,1.8944444444444444,2.9886110228702982,2.9886110228702982,14
7605,0.194111111111,7669,2.1125,2.237234886378747,2.237234886378747,15
7528,0.1827,7616,2.091111111111111,2.36075038162245,2.36075038162245,16
7335,0.162505555556,7427,2.0375,2.577420226245581,2.577420226245581,17
6478,0.114122222222,6535,1.7994444444444444,3.227259347375821,3.227259347375821,18
4542,0.0596222222222,4567,1.2616666666666667,4.279599300940861,4.279599300940861,19
3498,0.0441944444444,3518,0.9716666666666667,4.441118947220046,4.441118947220046,20
3040,0.0375333333333,3059,0.8444444444444444,4.533975400156415,4.533975400156415,21
2995,0.0372111111111,3013,0.8319444444444445,4.542113422337754,4.542113422337754,22
2138,0.0257111111111,2148,0.5938888888888889,4.617671621174794,4.617671621174794,23
