total_output,density,generated_cars,flow,average_speed:R1,total_average_speed,hour
1074,0.0128388888889,1084,0.29833333333333334,4.679115667511492,4.679115667511492,0
602,0.00722222222222,606,0.16722222222222222,4.707714426143352,4.707714426143352,1
334,0.00398888888889,337,0.09277777777777778,4.712883225277581,4.712883225277581,2
281,0.00327777777778,282,0.07805555555555556,4.715913829047942,4.715913829047942,3
391,0.00461666666667,394,0.10861111111111112,4.719791974760912,4.719791974760912,4
928,0.01105,935,0.2577777777777778,4.682378939110234,4.682378939110234,5
3546,0.0450777777778,3566,0.985,4.440429649620681,4.440429649620681,6
6518,0.112811111111,6566,1.8105555555555555,3.3085891293560814,3.3085891293560814,7
7190,0.146633333333,7255,1.9972222222222222,2.803657556276336,2.803657556276336,8
6205,0.1006,6243,1.7236111111111112,3.513177226307382,3.513177226307382,9
5460,0.0792,5504,1.5166666666666666,3.9270643189056926,3.9270643189056926,10
5748,0.0872333333333,5794,1.5966666666666667,3.7572014391600903,3.7572014391600903,11
6118,0.0985666666667,6175,1.6994444444444445,3.538658455582483,3.538658455582483,12
6271,0.101905555556,6338,1.7419444444444445,3.4846795458528783,3.4846795458528783,13
6859,0.134244444444,6932,1.9052777777777778,2.921109250931731,2.921109250931731,14
7526,0.185016666667,7629,2.0905555555555555,2.3252646665937124,2.3252646665937124,15
7597,0.186288888889,7687,2.1102777777777777,2.3336863413001785,2.3336863413001785,16
7472,0.18125,7555,2.0755555555555554,2.35160476862193,2.35160476862193,17
6338,0.105505555556,6399,1.7605555555555557,3.4207115438293707,3.4207115438293707,18
4360,0.0570555555556,4390,1.211111111111111,4.3206305894651225,4.3206305894651225,19
3537,0.0444722222222,3557,0.9825,4.479824333471071,4.479824333471071,20
3082,0.0383333333333,3102,0.8561111111111112,4.527477099672662,4.527477099672662,21
2970,0.0366,2989,0.825,4.544206637406413,4.544206637406413,22
2128,0.0257944444444,2142,0.5911111111111111,4.617195056337451,4.617195056337451,23
