total_output,density,generated_cars,flow,average_speed:R1,total_average_speed,hour
1069,0.0128555555556,1070,0.29694444444444446,4.681538602166837,4.681538602166837,0
553,0.00658888888889,559,0.15361111111111111,4.707589984350537,4.707589984350537,1
379,0.00447222222222,379,0.10527777777777778,4.710900963027479,4.710900963027479,2
301,0.00362777777778,306,0.08361111111111111,4.719133850723383,4.719133850723383,3
426,0.00506666666667,431,0.11833333333333333,4.698915641705414,4.698915641705414,4
924,0.0110055555556,929,0.25666666666666665,4.691314630515192,4.691314630515192,5
3445,0.0434333333333,3470,0.9569444444444445,4.468956520694858,4.468956520694858,6
6563,0.113022222222,6632,1.8230555555555557,3.30891400878972,3.30891400878972,7
7263,0.153161111111,7338,2.0175,2.6974885359563707,2.6974885359563707,8
6388,0.105255555556,6436,1.7744444444444445,3.444370840131159,3.444370840131159,9
5617,0.0841055555556,5666,1.5602777777777779,3.7903218808242065,3.7903218808242065,10
5769,0.0881333333333,5816,1.6025,3.7171756994189304,3.7171756994189304,11
6208,0.102116666667,6253,1.7244444444444444,3.469023518902381,3.469023518902381,12
6163,0.100866666667,6214,1.7119444444444445,3.4678521869022223,3.4678521869022223,13
6957,0.133194444444,7024,1.9325,2.9755661308528225,2.9755661308528225,14
7557,0.191427777778,7655,2.0991666666666666,2.2483791364654784,2.2483791364654784,15
7471,0.174644444444,7570,2.075277777777778,2.4524326224624895,2.4524326224624895,16
7364,0.164827777778,7460,2.0455555555555556,2.565089690444818,2.565089690444818,17
6423,0.1088,6467,1.7841666666666667,3.3506556388851276,3.3506556388851276,18
4481,0.0595777777778,4504,1.2447222222222223,4.24273240731353,4.24273240731353,19
3537,0.0445166666667,3557,0.9825,4.458699562948118,4.458699562948118,20
3049,0.0378944444444,3075,0.8469444444444445,4.537165644220792,4.537165644220792,21
2862,0.0351833333333,2881,0.795,4.534046750959035,4.534046750959035,22
2159,0.0262,2174,0.5997222222222223,4.610860525455818,4.610860525455818,23
