total_output,density,generated_cars,flow,average_speed:R1,total_average_speed,hour
1052,0.0126055555556,1062,0.2922222222222222,4.685344478450812,4.685344478450812,0
593,0.00700555555556,597,0.16472222222222221,4.713572274624223,4.713572274624223,1
363,0.00425555555556,366,0.10083333333333333,4.723253462743894,4.723253462743894,2
290,0.00344444444444,291,0.08055555555555556,4.720973198022375,4.720973198022375,3
409,0.00485,416,0.11361111111111111,4.716854290103128,4.716854290103128,4
960,0.01155,966,0.26666666666666666,4.689983134244493,4.689983134244493,5
3571,0.0450833333333,3593,0.9919444444444444,4.4431883104242695,4.4431883104242695,6
6476,0.112883333333,6530,1.798888888888889,3.2653553630122785,3.2653553630122785,7
7173,0.145838888889,7241,1.9925,2.805861292309846,2.805861292309846,8
6206,0.103794444444,6263,1.7238888888888888,3.4128736186145776,3.4128736186145776,9
5408,0.07695,5449,1.5022222222222221,3.9690020961531975,3.9690020961531975,10
5701,0.0859944444444,5746,1.583611111111111,3.779597286339637,3.779597286339637,11
6126,0.101155555556,6172,1.7016666666666667,3.467613522304692,3.467613522304692,12
6286,0.1053,6338,1.7461111111111112,3.408553869142432,3.408553869142432,13
6892,0.135522222222,6968,1.9144444444444444,2.910178661293096,2.910178661293096,14
7577,0.193972222222,7705,2.104722222222222,2.2468077997509845,2.2468077997509845,15
7538,0.184838888889,7614,2.093888888888889,2.323389880227443,2.323389880227443,16
7367,0.172311111111,7454,2.046388888888889,2.459939610326143,2.459939610326143,17
6408,0.112588888889,6474,1.78,3.2534564725192534,3.2534564725192534,18
4391,0.0578555555556,4421,1.2197222222222222,4.2792516967833185,4.2792516967833185,19
3472,0.0435222222222,3489,0.9644444444444444,4.476139160929732,4.476139160929732,20
3059,0.0379888888889,3080,0.8497222222222223,4.526404750420263,4.526404750420263,21
2962,0.0367055555556,2983,0.8227777777777778,4.535291061415527,4.535291061415527,22
2168,0.0262222222222,2181,0.6022222222222222,4.6096462795763875,4.6096462795763875,23
