total_output,density,generated_cars,flow,average_speed:R1,total_average_speed,hour
990,0.0118666666667,995,0.275,4.693473874349456,4.693473874349456,0
586,0.00694444444444,593,0.16277777777777777,4.708069339558254,4.708069339558254,1
350,0.00420555555556,354,0.09722222222222222,4.703641064390899,4.703641064390899,2
323,0.00379444444444,327,0.08972222222222222,4.710420433996374,4.710420433996374,3
389,0.00468333333333,389,0.10805555555555556,4.707876544311127,4.707876544311127,4
1005,0.0120444444444,1009,0.2791666666666667,4.696175501513281,4.696175501513281,5
3528,0.0449166666667,3558,0.98,4.4462197882361805,4.4462197882361805,6
6512,0.115027777778,6572,1.808888888888889,3.239383520084332,3.239383520084332,7
7121,0.142588888889,7182,1.9780555555555555,2.8460880692327137,2.8460880692327137,8
6246,0.102761111111,6299,1.735,3.452492323004583,3.452492323004583,9
5509,0.0815333333333,5561,1.5302777777777778,3.8270898046287813,3.8270898046287813,10
5596,0.0847388888889,5636,1.5544444444444445,3.7575603277717295,3.7575603277717295,11
6198,0.103944444444,6263,1.7216666666666667,3.411220653478612,3.411220653478612,12
6270,0.105522222222,6328,1.7416666666666667,3.3892495049942366,3.3892495049942366,13
6874,0.133661111111,6933,1.9094444444444445,2.9425008407719404,2.9425008407719404,14
7539,0.188605555556,7643,2.0941666666666667,2.2869272526696016,2.2869272526696016,15
7467,0.176333333333,7563,2.0741666666666667,2.4154984423974923,2.4154984423974923,16
7350,0.166611111111,7433,2.0416666666666665,2.514523138007098,2.514523138007098,17
6297,0.106833333333,6359,1.7491666666666668,3.373557508817464,3.373557508817464,18
4445,0.0581055555556,4475,1.2347222222222223,4.319501938758432,4.319501938758432,19
3453,0.0433333333333,3469,0.9591666666666666,4.476292203576073,4.476292203576073,20
3030,0.0378055555556,3045,0.8416666666666667,4.513903590656268,4.513903590656268,21
2915,0.0359944444444,2933,0.8097222222222222,4.545632485370329,4.545632485370329,22
2203,0.0267611111111,2216,0.6119444444444444,4.6047717410723,4.6047717410723,23
