total_output,density,generated_cars,flow,average_speed:R1,total_average_speed,hour
1017,0.0121555555556,1021,0.2825,4.683860307131138,4.683860307131138,0
605,0.00717222222222,608,0.16805555555555557,4.699100687028777,4.699100687028777,1
351,0.00421111111111,352,0.0975,4.724979358073607,4.724979358073607,2
268,0.00321111111111,269,0.07444444444444444,4.721508992542759,4.721508992542759,3
418,0.00493888888889,422,0.11611111111111111,4.713464857401713,4.713464857401713,4
942,0.0113055555556,946,0.26166666666666666,4.681553026982899,4.681553026982899,5
3599,0.0455777777778,3620,0.9997222222222222,4.448137617239124,4.448137617239124,6
6548,0.115272222222,6608,1.818888888888889,3.257347258661628,3.257347258661628,7
7118,0.144711111111,7211,1.9772222222222222,2.808495748505582,2.808495748505582,8
6300,0.104072222222,6337,1.75,3.4442048817105246,3.4442048817105246,9
5423,0.0786611111111,5469,1.506388888888889,3.917095280202442,3.917095280202442,10
5609,0.0822555555556,5652,1.5580555555555555,3.876215607634013,3.876215607634013,11
6224,0.103416666667,6279,1.728888888888889,3.4358886192707896,3.4358886192707896,12
6199,0.104666666667,6263,1.7219444444444445,3.393106790121704,3.393106790121704,13
6903,0.135894444444,6960,1.9175,2.9256348243799453,2.9256348243799453,14
7591,0.194744444444,7703,2.108611111111111,2.225284573254792,2.225284573254792,15
7524,0.186305555556,7621,2.09,2.3171859263178627,2.3171859263178627,16
7328,0.162944444444,7429,2.0355555555555553,2.577905650677127,2.577905650677127,17
6389,0.110472222222,6440,1.7747222222222223,3.3075283734528327,3.3075283734528327,18
4557,0.0604388888889,4596,1.2658333333333334,4.2558843734396925,4.2558843734396925,19
3464,0.0434722222222,3484,0.9622222222222222,4.477667846073903,4.477667846073903,20
3092,0.0386166666667,3103,0.8588888888888889,4.504350666276254,4.504350666276254,21
3046,0.0376722222222,3069,0.8461111111111111,4.536740711646731,4.536740711646731,22
2128,0.0259111111111,2139,0.5911111111111111,4.615001705362668,4.615001705362668,23
