total_output,density,generated_cars,flow,average_speed:R1,total_average_speed,hour
989,0.0117777777778,996,0.2747222222222222,4.681835960531664,4.681835960531664,0
556,0.00651111111111,558,0.15444444444444444,4.712465599397893,4.712465599397893,1
366,0.00441666666667,371,0.10166666666666667,4.716334501715112,4.716334501715112,2
296,0.00350555555556,297,0.08222222222222222,4.719895022011504,4.719895022011504,3
390,0.00468333333333,392,0.10833333333333334,4.71630387963044,4.71630387963044,4
929,0.0109944444444,931,0.25805555555555554,4.695614316278002,4.695614316278002,5
3503,0.0443555555556,3537,0.9730555555555556,4.439732414878868,4.439732414878868,6
6433,0.112066666667,6501,1.7869444444444444,3.273368466399031,3.273368466399031,7
7296,0.154844444444,7363,2.026666666666667,2.686368656453474,2.686368656453474,8
6195,0.100694444444,6248,1.7208333333333334,3.494538432687337,3.494538432687337,9
5517,0.0799611111111,5551,1.5325,3.8977951985565302,3.8977951985565302,10
5722,0.0855777777778,5764,1.5894444444444444,3.8054388567422044,3.8054388567422044,11
6254,0.106238888889,6295,1.7372222222222222,3.3623671304457297,3.3623671304457297,12
6294,0.106355555556,6333,1.7483333333333333,3.3700191309801153,3.3700191309801153,13
6862,0.129727777778,6929,1.906111111111111,3.0192513724899976,3.0192513724899976,14
7598,0.193844444444,7691,2.1105555555555555,2.24385524929875,2.24385524929875,15
7494,0.182694444444,7593,2.0816666666666666,2.352958690102221,2.352958690102221,16
7360,0.167716666667,7419,2.0444444444444443,2.501149788809454,2.501149788809454,17
6458,0.110511111111,6498,1.7938888888888889,3.3397092408023394,3.3397092408023394,18
4403,0.0579444444444,4440,1.2230555555555556,4.278776509099018,4.278776509099018,19
3595,0.0453,3613,0.9986111111111111,4.462846738431469,4.462846738431469,20
3078,0.0383666666667,3095,0.855,4.5276072972834145,4.5276072972834145,21
2917,0.0360555555556,2932,0.8102777777777778,4.533663045839224,4.533663045839224,22
2114,0.0258722222222,2126,0.5872222222222222,4.599576988942966,4.599576988942966,23
