total_output,density,generated_cars,flow,average_speed:R1,total_average_speed,hour
999,0.0119944444444,1010,0.2775,4.689852860415229,4.689852860415229,0
603,0.00719444444444,608,0.1675,4.69557404858091,4.69557404858091,1
355,0.00419444444444,357,0.09861111111111111,4.707691965675149,4.707691965675149,2
288,0.00340555555556,290,0.08,4.71072934472934,4.71072934472934,3
354,0.00425555555556,359,0.09833333333333333,4.7143252337292605,4.7143252337292605,4
943,0.0112444444444,949,0.2619444444444444,4.68948324290562,4.68948324290562,5
3536,0.0446722222222,3550,0.9822222222222222,4.45191653205835,4.45191653205835,6
6602,0.117083333333,6654,1.833888888888889,3.208240229896549,3.208240229896549,7
7153,0.145261111111,7226,1.9869444444444444,2.8029929342816353,2.8029929342816353,8
6226,0.101872222222,6281,1.7294444444444443,3.4922848280290277,3.4922848280290277,9
5500,0.0803777777778,5534,1.5277777777777777,3.8843788248685818,3.8843788248685818,10
5594,0.08475,5633,1.5538888888888889,3.757259826081212,3.757259826081212,11
6194,0.102711111111,6262,1.7205555555555556,3.451493353150905,3.451493353150905,12
6372,0.108616666667,6434,1.77,3.354777630752124,3.354777630752124,13
6833,0.13235,6907,1.8980555555555556,2.9651052047520667,2.9651052047520667,14
7548,0.188094444444,7648,2.0966666666666667,2.288092567700528,2.288092567700528,15
7556,0.194677777778,7647,2.098888888888889,2.222964366475759,2.222964366475759,16
7375,0.171027777778,7458,2.048611111111111,2.467191914579619,2.467191914579619,17
6395,0.108983333333,6465,1.7763888888888888,3.353371776545791,3.353371776545791,18
4506,0.0596666666667,4536,1.2516666666666667,4.263019960072037,4.263019960072037,19
3583,0.0453055555556,3609,0.9952777777777778,4.440566711082549,4.440566711082549,20
3017,0.0375277777778,3039,0.8380555555555556,4.52521079859296,4.52521079859296,21
2932,0.0364555555556,2946,0.8144444444444444,4.52627306443593,4.52627306443593,22
2088,0.0254833333333,2103,0.58,4.6240626039730275,4.6240626039730275,23
