total_output,density,generated_cars,flow,average_speed:R1,total_average_speed,hour
984,0.0117333333333,988,0.2733333333333333,4.686502795136806,4.686502795136806,0
580,0.00696666666667,580,0.16111111111111112,4.714605851869988,4.714605851869988,1
365,0.0044,367,0.10138888888888889,4.714012693405423,4.714012693405423,2
270,0.00319444444444,271,0.075,4.71973168920173,4.71973168920173,3
420,0.00500555555556,421,0.11666666666666667,4.713371622040181,4.713371622040181,4
937,0.0112611111111,944,0.2602777777777778,4.687893818821643,4.687893818821643,5
3603,0.0455777777778,3625,1.0008333333333332,4.4540018631430796,4.4540018631430796,6
6624,0.118411111111,6673,1.84,3.1979157985250346,3.1979157985250346,7
7171,0.1495,7279,1.9919444444444445,2.771468672175498,2.771468672175498,8
6236,0.1007,6286,1.7322222222222223,3.5170387882800824,3.5170387882800824,9
5414,0.0785277777778,5453,1.5038888888888888,3.9169643978109008,3.9169643978109008,10
5661,0.0854388888889,5722,1.5725,3.782864052491057,3.782864052491057,11
6201,0.102372222222,6256,1.7225,3.457256792335601,3.457256792335601,12
6263,0.105133333333,6310,1.7397222222222222,3.40968939578784,3.40968939578784,13
6837,0.132416666667,6894,1.8991666666666667,2.975728044775401,2.975728044775401,14
7535,0.183961111111,7651,2.0930555555555554,2.340819085902017,2.340819085902017,15
7565,0.194361111111,7652,2.1013888888888888,2.230877484904168,2.230877484904168,16
7403,0.164111111111,7494,2.056388888888889,2.5736339058804747,2.5736339058804747,17
6380,0.107372222222,6436,1.7722222222222221,3.38469995075233,3.38469995075233,18
4497,0.0594388888889,4526,1.2491666666666668,4.266280504994749,4.266280504994749,19
3505,0.0440555555556,3528,0.9736111111111111,4.4730662695869885,4.4730662695869885,20
3063,0.0379888888889,3081,0.8508333333333333,4.532226703061665,4.532226703061665,21
2985,0.0369,3004,0.8291666666666667,4.5449527903500195,4.5449527903500195,22
2118,0.02575,2128,0.5883333333333334,4.621220706112632,4.621220706112632,23
